# swirl-format: 1
# swirl-version: 0.1.0.dev0
# quantity: reflectance
# [illite] meta: {"synthetic": true, "end_member": "illite", "label": "Illite (AlOH ~2205 nm, stronger H2O than white mica)"}
# [illite] history: [{"name": "synthesize", "params": {"end_member": {"key": "illite", "label": "Illite (AlOH ~2205 nm, stronger H2O than white mica)", "continuum": [[350.0, 0.4], [600.0, 0.56], [1000.0, 0.66], [1400.0, 0.7], [2000.0, 0.67], [2500.0, 0.58]], "features": [{"center": 1410.0, "fwhm": 30.0, "depth": 0.13, "assignment": "OH"}, {"center": 1910.0, "fwhm": 50.0, "depth": 0.2, "assignment": "H2O"}, {"center": 2205.0, "fwhm": 42.0, "depth": 0.28, "assignment": "AlOH"}, {"center": 2350.0, "fwhm": 30.0, "depth": 0.08, "assignment": "AlOH secondary"}, {"center": 2440.0, "fwhm": 30.0, "depth": 0.05, "assignment": "AlOH secondary"}]}}, "swirl_version": "0.1.0.dev0"}]
wavelength_nm,illite
425.0000,0.457732
426.0000,0.458470
427.0000,0.459208
428.0000,0.459944
429.0000,0.460679
430.0000,0.461413
431.0000,0.462145
432.0000,0.462877
433.0000,0.463607
434.0000,0.464336
435.0000,0.465064
436.0000,0.465791
437.0000,0.466516
438.0000,0.467240
439.0000,0.467963
440.0000,0.468685
441.0000,0.469405
442.0000,0.470124
443.0000,0.470842
444.0000,0.471559
445.0000,0.472274
446.0000,0.472988
447.0000,0.473700
448.0000,0.474412
449.0000,0.475121
450.0000,0.475830
451.0000,0.476537
452.0000,0.477242
453.0000,0.477947
454.0000,0.478649
455.0000,0.479351
456.0000,0.480051
457.0000,0.480749
458.0000,0.481446
459.0000,0.482142
460.0000,0.482836
461.0000,0.483528
462.0000,0.484219
463.0000,0.484909
464.0000,0.485597
465.0000,0.486283
466.0000,0.486968
467.0000,0.487651
468.0000,0.488333
469.0000,0.489013
470.0000,0.489692
471.0000,0.490368
472.0000,0.491044
473.0000,0.491717
474.0000,0.492389
475.0000,0.493060
476.0000,0.493728
477.0000,0.494395
478.0000,0.495060
479.0000,0.495724
480.0000,0.496386
481.0000,0.497046
482.0000,0.497704
483.0000,0.498361
484.0000,0.499016
485.0000,0.499669
486.0000,0.500320
487.0000,0.500970
488.0000,0.501617
489.0000,0.502263
490.0000,0.502907
491.0000,0.503550
492.0000,0.504190
493.0000,0.504828
494.0000,0.505465
495.0000,0.506100
496.0000,0.506733
497.0000,0.507363
498.0000,0.507992
499.0000,0.508620
500.0000,0.509245
501.0000,0.509868
502.0000,0.510489
503.0000,0.511108
504.0000,0.511725
505.0000,0.512341
506.0000,0.512954
507.0000,0.513565
508.0000,0.514174
509.0000,0.514781
510.0000,0.515387
511.0000,0.515990
512.0000,0.516590
513.0000,0.517189
514.0000,0.517786
515.0000,0.518381
516.0000,0.518973
517.0000,0.519563
518.0000,0.520152
519.0000,0.520738
520.0000,0.521322
521.0000,0.521903
522.0000,0.522483
523.0000,0.523060
524.0000,0.523635
525.0000,0.524208
526.0000,0.524779
527.0000,0.525347
528.0000,0.525913
529.0000,0.526477
530.0000,0.527039
531.0000,0.527598
532.0000,0.528155
533.0000,0.528709
534.0000,0.529262
535.0000,0.529812
536.0000,0.530359
537.0000,0.530905
538.0000,0.531448
539.0000,0.531988
540.0000,0.532526
541.0000,0.533062
542.0000,0.533595
543.0000,0.534126
544.0000,0.534654
545.0000,0.535180
546.0000,0.535704
547.0000,0.536225
548.0000,0.536743
549.0000,0.537259
550.0000,0.537773
551.0000,0.538284
552.0000,0.538793
553.0000,0.539298
554.0000,0.539802
555.0000,0.540303
556.0000,0.540801
557.0000,0.541297
558.0000,0.541790
559.0000,0.542280
560.0000,0.542768
561.0000,0.543253
562.0000,0.543736
563.0000,0.544215
564.0000,0.544693
565.0000,0.545167
566.0000,0.545639
567.0000,0.546108
568.0000,0.546575
569.0000,0.547038
570.0000,0.547499
571.0000,0.547957
572.0000,0.548413
573.0000,0.548866
574.0000,0.549315
575.0000,0.549763
576.0000,0.550207
577.0000,0.550648
578.0000,0.551087
579.0000,0.551523
580.0000,0.551956
581.0000,0.552386
582.0000,0.552813
583.0000,0.553238
584.0000,0.553659
585.0000,0.554078
586.0000,0.554493
587.0000,0.554906
588.0000,0.555316
589.0000,0.555723
590.0000,0.556127
591.0000,0.556528
592.0000,0.556925
593.0000,0.557320
594.0000,0.557712
595.0000,0.558101
596.0000,0.558487
597.0000,0.558870
598.0000,0.559250
599.0000,0.559626
600.0000,0.560000
601.0000,0.560372
602.0000,0.560743
603.0000,0.561113
604.0000,0.561483
605.0000,0.561852
606.0000,0.562220
607.0000,0.562588
608.0000,0.562955
609.0000,0.563321
610.0000,0.563687
611.0000,0.564052
612.0000,0.564416
613.0000,0.564780
614.0000,0.565142
615.0000,0.565505
616.0000,0.565866
617.0000,0.566227
618.0000,0.566587
619.0000,0.566947
620.0000,0.567306
621.0000,0.567664
622.0000,0.568021
623.0000,0.568378
624.0000,0.568734
625.0000,0.569090
626.0000,0.569444
627.0000,0.569799
628.0000,0.570152
629.0000,0.570505
630.0000,0.570857
631.0000,0.571208
632.0000,0.571559
633.0000,0.571909
634.0000,0.572259
635.0000,0.572608
636.0000,0.572956
637.0000,0.573303
638.0000,0.573650
639.0000,0.573996
640.0000,0.574342
641.0000,0.574686
642.0000,0.575030
643.0000,0.575374
644.0000,0.575717
645.0000,0.576059
646.0000,0.576400
647.0000,0.576741
648.0000,0.577081
649.0000,0.577421
650.0000,0.577760
651.0000,0.578098
652.0000,0.578436
653.0000,0.578772
654.0000,0.579109
655.0000,0.579444
656.0000,0.579779
657.0000,0.580113
658.0000,0.580447
659.0000,0.580780
660.0000,0.581112
661.0000,0.581444
662.0000,0.581775
663.0000,0.582105
664.0000,0.582435
665.0000,0.582764
666.0000,0.583093
667.0000,0.583420
668.0000,0.583747
669.0000,0.584074
670.0000,0.584400
671.0000,0.584725
672.0000,0.585049
673.0000,0.585373
674.0000,0.585697
675.0000,0.586019
676.0000,0.586341
677.0000,0.586662
678.0000,0.586983
679.0000,0.587303
680.0000,0.587623
681.0000,0.587941
682.0000,0.588259
683.0000,0.588577
684.0000,0.588894
685.0000,0.589210
686.0000,0.589526
687.0000,0.589840
688.0000,0.590155
689.0000,0.590468
690.0000,0.590781
691.0000,0.591094
692.0000,0.591405
693.0000,0.591717
694.0000,0.592027
695.0000,0.592337
696.0000,0.592646
697.0000,0.592955
698.0000,0.593263
699.0000,0.593570
700.0000,0.593877
701.0000,0.594183
702.0000,0.594488
703.0000,0.594793
704.0000,0.595097
705.0000,0.595401
706.0000,0.595704
707.0000,0.596006
708.0000,0.596308
709.0000,0.596609
710.0000,0.596909
711.0000,0.597209
712.0000,0.597508
713.0000,0.597807
714.0000,0.598105
715.0000,0.598402
716.0000,0.598699
717.0000,0.598995
718.0000,0.599290
719.0000,0.599585
720.0000,0.599879
721.0000,0.600173
722.0000,0.600466
723.0000,0.600758
724.0000,0.601050
725.0000,0.601341
726.0000,0.601631
727.0000,0.601921
728.0000,0.602211
729.0000,0.602499
730.0000,0.602787
731.0000,0.603075
732.0000,0.603362
733.0000,0.603648
734.0000,0.603933
735.0000,0.604218
736.0000,0.604503
737.0000,0.604787
738.0000,0.605070
739.0000,0.605352
740.0000,0.605634
741.0000,0.605916
742.0000,0.606196
743.0000,0.606477
744.0000,0.606756
745.0000,0.607035
746.0000,0.607313
747.0000,0.607591
748.0000,0.607868
749.0000,0.608145
750.0000,0.608421
751.0000,0.608696
752.0000,0.608971
753.0000,0.609245
754.0000,0.609518
755.0000,0.609791
756.0000,0.610064
757.0000,0.610335
758.0000,0.610606
759.0000,0.610877
760.0000,0.611147
761.0000,0.611416
762.0000,0.611685
763.0000,0.611953
764.0000,0.612221
765.0000,0.612488
766.0000,0.612754
767.0000,0.613020
768.0000,0.613285
769.0000,0.613550
770.0000,0.613814
771.0000,0.614077
772.0000,0.614340
773.0000,0.614602
774.0000,0.614864
775.0000,0.615125
776.0000,0.615385
777.0000,0.615645
778.0000,0.615904
779.0000,0.616163
780.0000,0.616421
781.0000,0.616679
782.0000,0.616936
783.0000,0.617192
784.0000,0.617448
785.0000,0.617703
786.0000,0.617958
787.0000,0.618212
788.0000,0.618465
789.0000,0.618718
790.0000,0.618970
791.0000,0.619222
792.0000,0.619473
793.0000,0.619724
794.0000,0.619974
795.0000,0.620223
796.0000,0.620472
797.0000,0.620720
798.0000,0.620968
799.0000,0.621215
800.0000,0.621462
801.0000,0.621708
802.0000,0.621953
803.0000,0.622198
804.0000,0.622442
805.0000,0.622686
806.0000,0.622929
807.0000,0.623172
808.0000,0.623414
809.0000,0.623655
810.0000,0.623896
811.0000,0.624136
812.0000,0.624376
813.0000,0.624615
814.0000,0.624854
815.0000,0.625092
816.0000,0.625329
817.0000,0.625566
818.0000,0.625802
819.0000,0.626038
820.0000,0.626273
821.0000,0.626508
822.0000,0.626742
823.0000,0.626975
824.0000,0.627208
825.0000,0.627441
826.0000,0.627673
827.0000,0.627904
828.0000,0.628135
829.0000,0.628365
830.0000,0.628594
831.0000,0.628823
832.0000,0.629052
833.0000,0.629280
834.0000,0.629507
835.0000,0.629734
836.0000,0.629960
837.0000,0.630186
838.0000,0.630411
839.0000,0.630636
840.0000,0.630860
841.0000,0.631083
842.0000,0.631306
843.0000,0.631529
844.0000,0.631751
845.0000,0.631972
846.0000,0.632193
847.0000,0.632413
848.0000,0.632633
849.0000,0.632852
850.0000,0.633070
851.0000,0.633288
852.0000,0.633506
853.0000,0.633723
854.0000,0.633939
855.0000,0.634155
856.0000,0.634370
857.0000,0.634585
858.0000,0.634799
859.0000,0.635013
860.0000,0.635226
861.0000,0.635439
862.0000,0.635651
863.0000,0.635862
864.0000,0.636073
865.0000,0.636284
866.0000,0.636494
867.0000,0.636703
868.0000,0.636912
869.0000,0.637120
870.0000,0.637328
871.0000,0.637535
872.0000,0.637742
873.0000,0.637948
874.0000,0.638154
875.0000,0.638359
876.0000,0.638564
877.0000,0.638768
878.0000,0.638971
879.0000,0.639174
880.0000,0.639377
881.0000,0.639579
882.0000,0.639780
883.0000,0.639981
884.0000,0.640181
885.0000,0.640381
886.0000,0.640581
887.0000,0.640779
888.0000,0.640978
889.0000,0.641175
890.0000,0.641373
891.0000,0.641569
892.0000,0.641765
893.0000,0.641961
894.0000,0.642156
895.0000,0.642351
896.0000,0.642545
897.0000,0.642738
898.0000,0.642931
899.0000,0.643124
900.0000,0.643316
901.0000,0.643508
902.0000,0.643699
903.0000,0.643889
904.0000,0.644079
905.0000,0.644268
906.0000,0.644457
907.0000,0.644646
908.0000,0.644834
909.0000,0.645021
910.0000,0.645208
911.0000,0.645394
912.0000,0.645580
913.0000,0.645765
914.0000,0.645950
915.0000,0.646135
916.0000,0.646318
917.0000,0.646502
918.0000,0.646684
919.0000,0.646867
920.0000,0.647049
921.0000,0.647230
922.0000,0.647411
923.0000,0.647591
924.0000,0.647771
925.0000,0.647950
926.0000,0.648129
927.0000,0.648307
928.0000,0.648485
929.0000,0.648662
930.0000,0.648839
931.0000,0.649015
932.0000,0.649191
933.0000,0.649366
934.0000,0.649541
935.0000,0.649715
936.0000,0.649889
937.0000,0.650062
938.0000,0.650235
939.0000,0.650407
940.0000,0.650579
941.0000,0.650750
942.0000,0.650921
943.0000,0.651091
944.0000,0.651261
945.0000,0.651430
946.0000,0.651599
947.0000,0.651767
948.0000,0.651935
949.0000,0.652102
950.0000,0.652269
951.0000,0.652436
952.0000,0.652601
953.0000,0.652767
954.0000,0.652932
955.0000,0.653096
956.0000,0.653260
957.0000,0.653424
958.0000,0.653587
959.0000,0.653749
960.0000,0.653911
961.0000,0.654072
962.0000,0.654233
963.0000,0.654394
964.0000,0.654554
965.0000,0.654714
966.0000,0.654873
967.0000,0.655031
968.0000,0.655189
969.0000,0.655347
970.0000,0.655504
971.0000,0.655661
972.0000,0.655817
973.0000,0.655973
974.0000,0.656128
975.0000,0.656283
976.0000,0.656437
977.0000,0.656591
978.0000,0.656745
979.0000,0.656897
980.0000,0.657050
981.0000,0.657202
982.0000,0.657353
983.0000,0.657504
984.0000,0.657655
985.0000,0.657805
986.0000,0.657955
987.0000,0.658104
988.0000,0.658252
989.0000,0.658401
990.0000,0.658548
991.0000,0.658696
992.0000,0.658842
993.0000,0.658989
994.0000,0.659135
995.0000,0.659280
996.0000,0.659425
997.0000,0.659569
998.0000,0.659713
999.0000,0.659857
1000.0000,0.660000
1001.0000,0.660143
1002.0000,0.660286
1003.0000,0.660429
1004.0000,0.660572
1005.0000,0.660715
1006.0000,0.660858
1007.0000,0.661002
1008.0000,0.661145
1009.0000,0.661288
1010.0000,0.661432
1011.0000,0.661575
1012.0000,0.661719
1013.0000,0.661862
1014.0000,0.662006
1015.0000,0.662150
1016.0000,0.662293
1017.0000,0.662437
1018.0000,0.662581
1019.0000,0.662725
1020.0000,0.662869
1021.0000,0.663012
1022.0000,0.663156
1023.0000,0.663300
1024.0000,0.663444
1025.0000,0.663588
1026.0000,0.663732
1027.0000,0.663876
1028.0000,0.664020
1029.0000,0.664164
1030.0000,0.664308
1031.0000,0.664452
1032.0000,0.664596
1033.0000,0.664740
1034.0000,0.664884
1035.0000,0.665028
1036.0000,0.665172
1037.0000,0.665317
1038.0000,0.665461
1039.0000,0.665605
1040.0000,0.665749
1041.0000,0.665893
1042.0000,0.666037
1043.0000,0.666180
1044.0000,0.666324
1045.0000,0.666468
1046.0000,0.666612
1047.0000,0.666756
1048.0000,0.666900
1049.0000,0.667044
1050.0000,0.667187
1051.0000,0.667331
1052.0000,0.667475
1053.0000,0.667619
1054.0000,0.667762
1055.0000,0.667906
1056.0000,0.668049
1057.0000,0.668193
1058.0000,0.668336
1059.0000,0.668480
1060.0000,0.668623
1061.0000,0.668766
1062.0000,0.668909
1063.0000,0.669052
1064.0000,0.669196
1065.0000,0.669339
1066.0000,0.669481
1067.0000,0.669624
1068.0000,0.669767
1069.0000,0.669910
1070.0000,0.670053
1071.0000,0.670195
1072.0000,0.670338
1073.0000,0.670480
1074.0000,0.670622
1075.0000,0.670765
1076.0000,0.670907
1077.0000,0.671049
1078.0000,0.671191
1079.0000,0.671333
1080.0000,0.671474
1081.0000,0.671616
1082.0000,0.671758
1083.0000,0.671899
1084.0000,0.672040
1085.0000,0.672182
1086.0000,0.672323
1087.0000,0.672464
1088.0000,0.672605
1089.0000,0.672745
1090.0000,0.672886
1091.0000,0.673027
1092.0000,0.673167
1093.0000,0.673307
1094.0000,0.673448
1095.0000,0.673588
1096.0000,0.673727
1097.0000,0.673867
1098.0000,0.674007
1099.0000,0.674146
1100.0000,0.674286
1101.0000,0.674425
1102.0000,0.674564
1103.0000,0.674703
1104.0000,0.674842
1105.0000,0.674980
1106.0000,0.675119
1107.0000,0.675257
1108.0000,0.675395
1109.0000,0.675533
1110.0000,0.675671
1111.0000,0.675809
1112.0000,0.675946
1113.0000,0.676084
1114.0000,0.676221
1115.0000,0.676358
1116.0000,0.676495
1117.0000,0.676631
1118.0000,0.676768
1119.0000,0.676904
1120.0000,0.677040
1121.0000,0.677176
1122.0000,0.677312
1123.0000,0.677447
1124.0000,0.677582
1125.0000,0.677718
1126.0000,0.677853
1127.0000,0.677987
1128.0000,0.678122
1129.0000,0.678256
1130.0000,0.678390
1131.0000,0.678524
1132.0000,0.678658
1133.0000,0.678792
1134.0000,0.678925
1135.0000,0.679058
1136.0000,0.679191
1137.0000,0.679323
1138.0000,0.679456
1139.0000,0.679588
1140.0000,0.679720
1141.0000,0.679852
1142.0000,0.679983
1143.0000,0.680115
1144.0000,0.680246
1145.0000,0.680376
1146.0000,0.680507
1147.0000,0.680637
1148.0000,0.680767
1149.0000,0.680897
1150.0000,0.681027
1151.0000,0.681156
1152.0000,0.681285
1153.0000,0.681414
1154.0000,0.681543
1155.0000,0.681671
1156.0000,0.681799
1157.0000,0.681927
1158.0000,0.682054
1159.0000,0.682182
1160.0000,0.682309
1161.0000,0.682435
1162.0000,0.682562
1163.0000,0.682688
1164.0000,0.682814
1165.0000,0.682939
1166.0000,0.683065
1167.0000,0.683190
1168.0000,0.683315
1169.0000,0.683439
1170.0000,0.683563
1171.0000,0.683687
1172.0000,0.683811
1173.0000,0.683934
1174.0000,0.684057
1175.0000,0.684180
1176.0000,0.684302
1177.0000,0.684424
1178.0000,0.684546
1179.0000,0.684667
1180.0000,0.684789
1181.0000,0.684909
1182.0000,0.685030
1183.0000,0.685150
1184.0000,0.685270
1185.0000,0.685390
1186.0000,0.685509
1187.0000,0.685628
1188.0000,0.685746
1189.0000,0.685865
1190.0000,0.685982
1191.0000,0.686100
1192.0000,0.686217
1193.0000,0.686334
1194.0000,0.686451
1195.0000,0.686567
1196.0000,0.686683
1197.0000,0.686798
1198.0000,0.686914
1199.0000,0.687028
1200.0000,0.687143
1201.0000,0.687257
1202.0000,0.687371
1203.0000,0.687484
1204.0000,0.687597
1205.0000,0.687710
1206.0000,0.687822
1207.0000,0.687934
1208.0000,0.688046
1209.0000,0.688157
1210.0000,0.688267
1211.0000,0.688378
1212.0000,0.688488
1213.0000,0.688598
1214.0000,0.688707
1215.0000,0.688816
1216.0000,0.688924
1217.0000,0.689032
1218.0000,0.689140
1219.0000,0.689247
1220.0000,0.689354
1221.0000,0.689461
1222.0000,0.689567
1223.0000,0.689673
1224.0000,0.689778
1225.0000,0.689883
1226.0000,0.689987
1227.0000,0.690091
1228.0000,0.690195
1229.0000,0.690298
1230.0000,0.690401
1231.0000,0.690503
1232.0000,0.690605
1233.0000,0.690707
1234.0000,0.690808
1235.0000,0.690909
1236.0000,0.691009
1237.0000,0.691109
1238.0000,0.691208
1239.0000,0.691307
1240.0000,0.691406
1241.0000,0.691504
1242.0000,0.691601
1243.0000,0.691699
1244.0000,0.691795
1245.0000,0.691892
1246.0000,0.691987
1247.0000,0.692083
1248.0000,0.692178
1249.0000,0.692272
1250.0000,0.692366
1251.0000,0.692460
1252.0000,0.692553
1253.0000,0.692645
1254.0000,0.692737
1255.0000,0.692829
1256.0000,0.692920
1257.0000,0.693011
1258.0000,0.693101
1259.0000,0.693191
1260.0000,0.693280
1261.0000,0.693369
1262.0000,0.693457
1263.0000,0.693545
1264.0000,0.693632
1265.0000,0.693719
1266.0000,0.693805
1267.0000,0.693891
1268.0000,0.693976
1269.0000,0.694061
1270.0000,0.694145
1271.0000,0.694229
1272.0000,0.694312
1273.0000,0.694395
1274.0000,0.694477
1275.0000,0.694559
1276.0000,0.694640
1277.0000,0.694721
1278.0000,0.694801
1279.0000,0.694881
1280.0000,0.694960
1281.0000,0.695039
1282.0000,0.695117
1283.0000,0.695194
1284.0000,0.695271
1285.0000,0.695348
1286.0000,0.695424
1287.0000,0.695499
1288.0000,0.695574
1289.0000,0.695648
1290.0000,0.695722
1291.0000,0.695795
1292.0000,0.695868
1293.0000,0.695940
1294.0000,0.696011
1295.0000,0.696082
1296.0000,0.696153
1297.0000,0.696222
1298.0000,0.696292
1299.0000,0.696360
1300.0000,0.696429
1301.0000,0.696496
1302.0000,0.696563
1303.0000,0.696630
1304.0000,0.696695
1305.0000,0.696761
1306.0000,0.696825
1307.0000,0.696889
1308.0000,0.696953
1309.0000,0.697016
1310.0000,0.697078
1311.0000,0.697140
1312.0000,0.697201
1313.0000,0.697262
1314.0000,0.697322
1315.0000,0.697381
1316.0000,0.697440
1317.0000,0.697498
1318.0000,0.697555
1319.0000,0.697612
1320.0000,0.697669
1321.0000,0.697724
1322.0000,0.697779
1323.0000,0.697834
1324.0000,0.697888
1325.0000,0.697941
1326.0000,0.697993
1327.0000,0.698045
1328.0000,0.698097
1329.0000,0.698147
1330.0000,0.698197
1331.0000,0.698247
1332.0000,0.698296
1333.0000,0.698344
1334.0000,0.698391
1335.0000,0.698438
1336.0000,0.698484
1337.0000,0.698530
1338.0000,0.698575
1339.0000,0.698619
1340.0000,0.698663
1341.0000,0.698706
1342.0000,0.698748
1343.0000,0.698790
1344.0000,0.698831
1345.0000,0.698871
1346.0000,0.698910
1347.0000,0.698949
1348.0000,0.698987
1349.0000,0.699025
1350.0000,0.699061
1351.0000,0.699097
1352.0000,0.699131
1353.0000,0.699165
1354.0000,0.699198
1355.0000,0.699229
1356.0000,0.699258
1357.0000,0.699286
1358.0000,0.699312
1359.0000,0.699334
1360.0000,0.699353
1361.0000,0.699368
1362.0000,0.699377
1363.0000,0.699380
1364.0000,0.699373
1365.0000,0.699356
1366.0000,0.699326
1367.0000,0.699280
1368.0000,0.699212
1369.0000,0.699120
1370.0000,0.698998
1371.0000,0.698839
1372.0000,0.698636
1373.0000,0.698380
1374.0000,0.698062
1375.0000,0.697671
1376.0000,0.697195
1377.0000,0.696620
1378.0000,0.695933
1379.0000,0.695118
1380.0000,0.694159
1381.0000,0.693041
1382.0000,0.691746
1383.0000,0.690258
1384.0000,0.688562
1385.0000,0.686645
1386.0000,0.684494
1387.0000,0.682101
1388.0000,0.679458
1389.0000,0.676565
1390.0000,0.673424
1391.0000,0.670043
1392.0000,0.666437
1393.0000,0.662624
1394.0000,0.658631
1395.0000,0.654491
1396.0000,0.650242
1397.0000,0.645929
1398.0000,0.641603
1399.0000,0.637316
1400.0000,0.633127
1401.0000,0.629096
1402.0000,0.625283
1403.0000,0.621749
1404.0000,0.618551
1405.0000,0.615743
1406.0000,0.613373
1407.0000,0.611483
1408.0000,0.610108
1409.0000,0.609272
1410.0000,0.608990
1411.0000,0.609268
1412.0000,0.610100
1413.0000,0.611471
1414.0000,0.613357
1415.0000,0.615722
1416.0000,0.618526
1417.0000,0.621720
1418.0000,0.625250
1419.0000,0.629058
1420.0000,0.633085
1421.0000,0.637270
1422.0000,0.641553
1423.0000,0.645876
1424.0000,0.650186
1425.0000,0.654432
1426.0000,0.658571
1427.0000,0.662562
1428.0000,0.666374
1429.0000,0.669980
1430.0000,0.673361
1431.0000,0.676503
1432.0000,0.679398
1433.0000,0.682042
1434.0000,0.684438
1435.0000,0.686592
1436.0000,0.688513
1437.0000,0.690213
1438.0000,0.691705
1439.0000,0.693006
1440.0000,0.694130
1441.0000,0.695095
1442.0000,0.695917
1443.0000,0.696611
1444.0000,0.697194
1445.0000,0.697679
1446.0000,0.698079
1447.0000,0.698406
1448.0000,0.698672
1449.0000,0.698886
1450.0000,0.699056
1451.0000,0.699190
1452.0000,0.699294
1453.0000,0.699373
1454.0000,0.699433
1455.0000,0.699477
1456.0000,0.699508
1457.0000,0.699529
1458.0000,0.699541
1459.0000,0.699548
1460.0000,0.699549
1461.0000,0.699546
1462.0000,0.699541
1463.0000,0.699533
1464.0000,0.699523
1465.0000,0.699512
1466.0000,0.699500
1467.0000,0.699486
1468.0000,0.699473
1469.0000,0.699458
1470.0000,0.699443
1471.0000,0.699428
1472.0000,0.699412
1473.0000,0.699397
1474.0000,0.699380
1475.0000,0.699364
1476.0000,0.699347
1477.0000,0.699330
1478.0000,0.699313
1479.0000,0.699296
1480.0000,0.699278
1481.0000,0.699261
1482.0000,0.699243
1483.0000,0.699224
1484.0000,0.699206
1485.0000,0.699187
1486.0000,0.699169
1487.0000,0.699149
1488.0000,0.699130
1489.0000,0.699111
1490.0000,0.699091
1491.0000,0.699071
1492.0000,0.699051
1493.0000,0.699031
1494.0000,0.699011
1495.0000,0.698990
1496.0000,0.698969
1497.0000,0.698948
1498.0000,0.698927
1499.0000,0.698905
1500.0000,0.698884
1501.0000,0.698862
1502.0000,0.698840
1503.0000,0.698817
1504.0000,0.698795
1505.0000,0.698772
1506.0000,0.698750
1507.0000,0.698726
1508.0000,0.698703
1509.0000,0.698680
1510.0000,0.698656
1511.0000,0.698632
1512.0000,0.698608
1513.0000,0.698584
1514.0000,0.698560
1515.0000,0.698535
1516.0000,0.698510
1517.0000,0.698485
1518.0000,0.698460
1519.0000,0.698434
1520.0000,0.698409
1521.0000,0.698383
1522.0000,0.698357
1523.0000,0.698331
1524.0000,0.698304
1525.0000,0.698278
1526.0000,0.698251
1527.0000,0.698224
1528.0000,0.698197
1529.0000,0.698170
1530.0000,0.698142
1531.0000,0.698114
1532.0000,0.698086
1533.0000,0.698058
1534.0000,0.698030
1535.0000,0.698002
1536.0000,0.697973
1537.0000,0.697944
1538.0000,0.697915
1539.0000,0.697886
1540.0000,0.697856
1541.0000,0.697827
1542.0000,0.697797
1543.0000,0.697767
1544.0000,0.697737
1545.0000,0.697706
1546.0000,0.697676
1547.0000,0.697645
1548.0000,0.697614
1549.0000,0.697583
1550.0000,0.697552
1551.0000,0.697520
1552.0000,0.697489
1553.0000,0.697457
1554.0000,0.697425
1555.0000,0.697393
1556.0000,0.697360
1557.0000,0.697328
1558.0000,0.697295
1559.0000,0.697262
1560.0000,0.697229
1561.0000,0.697196
1562.0000,0.697162
1563.0000,0.697129
1564.0000,0.697095
1565.0000,0.697061
1566.0000,0.697027
1567.0000,0.696992
1568.0000,0.696958
1569.0000,0.696923
1570.0000,0.696888
1571.0000,0.696853
1572.0000,0.696818
1573.0000,0.696783
1574.0000,0.696747
1575.0000,0.696711
1576.0000,0.696675
1577.0000,0.696639
1578.0000,0.696603
1579.0000,0.696566
1580.0000,0.696530
1581.0000,0.696493
1582.0000,0.696456
1583.0000,0.696419
1584.0000,0.696382
1585.0000,0.696344
1586.0000,0.696306
1587.0000,0.696269
1588.0000,0.696230
1589.0000,0.696192
1590.0000,0.696154
1591.0000,0.696115
