# swirl-format: 1
# swirl-version: 0.1.0.dev0
# quantity: reflectance
# [hematite_noisy] meta: {"synthetic": true, "end_member": "hematite", "label": "Hematite (Fe3+ charge-transfer edge, crystal-field band ~870 nm)", "seed": [20260925, 1]}
# [hematite_noisy] history: [{"name": "synthesize", "params": {"end_member": {"key": "hematite", "label": "Hematite (Fe3+ charge-transfer edge, crystal-field band ~870 nm)", "continuum": [[350.0, 0.03], [500.0, 0.04], [560.0, 0.06], [620.0, 0.15], [700.0, 0.25], [760.0, 0.29], [1300.0, 0.33], [2500.0, 0.34]], "features": [{"center": 870.0, "fwhm": 180.0, "depth": 0.3, "assignment": "Fe3+ crystal field"}]}}, "swirl_version": "0.1.0.dev0"}, {"name": "add_noise", "params": {"base": 0.0015, "low_boost": 4.0, "low_scale": 30.0, "high_boost": 3.0, "high_scale": 60.0}, "swirl_version": "0.1.0.dev0"}, {"name": "apply_splice_offsets", "params": {"vnir": 0.005546212098531945, "swir2": -0.00765964885893132}, "swirl_version": "0.1.0.dev0"}]
wavelength_nm,hematite_noisy
748.0000,0.264030
749.0000,0.265692
750.0000,0.262946
751.0000,0.262899
752.0000,0.261539
753.0000,0.264192
754.0000,0.262509
755.0000,0.262693
756.0000,0.263724
757.0000,0.261153
758.0000,0.260245
759.0000,0.263209
760.0000,0.257710
761.0000,0.259488
762.0000,0.254968
763.0000,0.260662
764.0000,0.260418
765.0000,0.258796
766.0000,0.258786
767.0000,0.258828
768.0000,0.258330
769.0000,0.256785
770.0000,0.253764
771.0000,0.256398
772.0000,0.257180
773.0000,0.253649
774.0000,0.253866
775.0000,0.254047
776.0000,0.250161
777.0000,0.251717
778.0000,0.252610
779.0000,0.249809
780.0000,0.250441
781.0000,0.249618
782.0000,0.251424
783.0000,0.248360
784.0000,0.250317
785.0000,0.248993
786.0000,0.248284
787.0000,0.248262
788.0000,0.245545
789.0000,0.246580
790.0000,0.245887
791.0000,0.247312
792.0000,0.247439
793.0000,0.242013
794.0000,0.242994
795.0000,0.242860
796.0000,0.242238
797.0000,0.239063
798.0000,0.239952
799.0000,0.239155
800.0000,0.240781
801.0000,0.239567
802.0000,0.237607
803.0000,0.237694
804.0000,0.239496
805.0000,0.236165
806.0000,0.236286
807.0000,0.235172
808.0000,0.236064
809.0000,0.232187
810.0000,0.231797
811.0000,0.233935
812.0000,0.233409
813.0000,0.232226
814.0000,0.230759
815.0000,0.229274
816.0000,0.231762
817.0000,0.227843
818.0000,0.230148
819.0000,0.229543
820.0000,0.226326
821.0000,0.226866
822.0000,0.226177
823.0000,0.224872
824.0000,0.227195
825.0000,0.226282
826.0000,0.222924
827.0000,0.224902
828.0000,0.223539
829.0000,0.222929
830.0000,0.222614
831.0000,0.223261
832.0000,0.219849
833.0000,0.221408
834.0000,0.223865
835.0000,0.218522
836.0000,0.219941
837.0000,0.220584
838.0000,0.218751
839.0000,0.217022
840.0000,0.219094
841.0000,0.219596
842.0000,0.218285
843.0000,0.218035
844.0000,0.218000
845.0000,0.216680
846.0000,0.217526
847.0000,0.216868
848.0000,0.216164
849.0000,0.216434
850.0000,0.215190
851.0000,0.214689
852.0000,0.215767
853.0000,0.215407
854.0000,0.214757
855.0000,0.217131
856.0000,0.216066
857.0000,0.213527
858.0000,0.210981
859.0000,0.213576
860.0000,0.214782
861.0000,0.215943
862.0000,0.216743
863.0000,0.215026
864.0000,0.212971
865.0000,0.214546
866.0000,0.212833
867.0000,0.215993
868.0000,0.213593
869.0000,0.215861
870.0000,0.213467
871.0000,0.212097
872.0000,0.217088
873.0000,0.217187
874.0000,0.214490
875.0000,0.214646
876.0000,0.216781
877.0000,0.216576
878.0000,0.214778
879.0000,0.215973
880.0000,0.219285
881.0000,0.217128
882.0000,0.218246
883.0000,0.220531
884.0000,0.219186
885.0000,0.219820
886.0000,0.219238
887.0000,0.218971
888.0000,0.217398
889.0000,0.220647
890.0000,0.220000
891.0000,0.216998
892.0000,0.222170
893.0000,0.219926
894.0000,0.222728
895.0000,0.220264
896.0000,0.223906
897.0000,0.224696
898.0000,0.224533
899.0000,0.222055
900.0000,0.224645
901.0000,0.224108
902.0000,0.223203
903.0000,0.224856
904.0000,0.226897
905.0000,0.225191
906.0000,0.228084
907.0000,0.230154
908.0000,0.229737
909.0000,0.230654
910.0000,0.230589
911.0000,0.230145
912.0000,0.231525
913.0000,0.231796
914.0000,0.232694
915.0000,0.233602
916.0000,0.234314
917.0000,0.237378
918.0000,0.235604
919.0000,0.235910
920.0000,0.237397
921.0000,0.238446
922.0000,0.237965
923.0000,0.239729
924.0000,0.239061
925.0000,0.239966
926.0000,0.240231
927.0000,0.243366
928.0000,0.242442
929.0000,0.245408
930.0000,0.243940
931.0000,0.245244
932.0000,0.244147
933.0000,0.248392
934.0000,0.250231
935.0000,0.247110
936.0000,0.246883
937.0000,0.249924
938.0000,0.252376
939.0000,0.251910
940.0000,0.249779
941.0000,0.252528
942.0000,0.255588
943.0000,0.253894
944.0000,0.254789
945.0000,0.258070
946.0000,0.257758
947.0000,0.259792
948.0000,0.260619
949.0000,0.257814
950.0000,0.261799
951.0000,0.263050
952.0000,0.262061
953.0000,0.260912
954.0000,0.265142
955.0000,0.264657
956.0000,0.268198
957.0000,0.264031
958.0000,0.265453
959.0000,0.270222
960.0000,0.267330
961.0000,0.271765
962.0000,0.274006
963.0000,0.271543
964.0000,0.272235
965.0000,0.271972
966.0000,0.274231
967.0000,0.274190
968.0000,0.273765
969.0000,0.275512
970.0000,0.276463
971.0000,0.278320
972.0000,0.278884
973.0000,0.278263
974.0000,0.281342
975.0000,0.278912
976.0000,0.280011
977.0000,0.285175
978.0000,0.284663
979.0000,0.284447
980.0000,0.286459
981.0000,0.286252
982.0000,0.286128
983.0000,0.287367
984.0000,0.288220
985.0000,0.285209
986.0000,0.290237
987.0000,0.287593
988.0000,0.290214
989.0000,0.289596
990.0000,0.291169
991.0000,0.287173
992.0000,0.292835
993.0000,0.295611
994.0000,0.294364
995.0000,0.293997
996.0000,0.295402
997.0000,0.298519
998.0000,0.296218
999.0000,0.292825
1000.0000,0.297901
1001.0000,0.298672
1002.0000,0.295845
1003.0000,0.298431
1004.0000,0.297130
1005.0000,0.300904
1006.0000,0.298632
1007.0000,0.303115
1008.0000,0.299041
1009.0000,0.302855
1010.0000,0.302592
1011.0000,0.300572
1012.0000,0.301121
1013.0000,0.301083
1014.0000,0.304838
1015.0000,0.304075
1016.0000,0.301843
1017.0000,0.307493
1018.0000,0.307445
1019.0000,0.304948
1020.0000,0.309527
1021.0000,0.307247
1022.0000,0.306278
1023.0000,0.307032
1024.0000,0.308123
1025.0000,0.307450
1026.0000,0.309106
1027.0000,0.308940
1028.0000,0.309704
1029.0000,0.308742
1030.0000,0.309962
1031.0000,0.313022
1032.0000,0.311421
1033.0000,0.310748
1034.0000,0.311470
1035.0000,0.311959
1036.0000,0.313287
1037.0000,0.310069
1038.0000,0.311317
1039.0000,0.316128
1040.0000,0.310839
1041.0000,0.311958
1042.0000,0.313567
1043.0000,0.315298
1044.0000,0.311670
1045.0000,0.316174
1046.0000,0.314742
1047.0000,0.312718
1048.0000,0.314794
1049.0000,0.315177
1050.0000,0.316048
1051.0000,0.314371
1052.0000,0.319156
1053.0000,0.317400
1054.0000,0.315146
1055.0000,0.320382
1056.0000,0.317162
1057.0000,0.318945
1058.0000,0.317970
1059.0000,0.316290
1060.0000,0.319342
1061.0000,0.320359
1062.0000,0.317536
1063.0000,0.315388
1064.0000,0.316853
1065.0000,0.319840
1066.0000,0.320029
1067.0000,0.316680
1068.0000,0.321275
1069.0000,0.321188
1070.0000,0.321360
1071.0000,0.318686
1072.0000,0.318695
1073.0000,0.320405
1074.0000,0.320540
1075.0000,0.319746
1076.0000,0.319359
1077.0000,0.320050
1078.0000,0.321767
1079.0000,0.321018
1080.0000,0.321161
1081.0000,0.321888
1082.0000,0.320614
1083.0000,0.321143
1084.0000,0.319427
1085.0000,0.324163
1086.0000,0.322982
1087.0000,0.323427
1088.0000,0.320381
1089.0000,0.323826
1090.0000,0.322300
1091.0000,0.323197
1092.0000,0.321725
1093.0000,0.322670
1094.0000,0.321548
1095.0000,0.321952
1096.0000,0.321845
1097.0000,0.322122
1098.0000,0.323191
1099.0000,0.323313
1100.0000,0.323897
1101.0000,0.322556
1102.0000,0.324696
1103.0000,0.324556
1104.0000,0.322996
1105.0000,0.324540
1106.0000,0.324236
1107.0000,0.321145
1108.0000,0.325422
1109.0000,0.321078
1110.0000,0.322369
1111.0000,0.323976
1112.0000,0.325231
1113.0000,0.323541
1114.0000,0.323512
1115.0000,0.324764
1116.0000,0.323696
1117.0000,0.324553
1118.0000,0.323036
1119.0000,0.322614
1120.0000,0.324889
1121.0000,0.326227
1122.0000,0.321908
1123.0000,0.325938
1124.0000,0.325410
1125.0000,0.326236
1126.0000,0.324444
1127.0000,0.325264
1128.0000,0.326373
1129.0000,0.322439
1130.0000,0.325744
1131.0000,0.325671
1132.0000,0.325938
1133.0000,0.324304
1134.0000,0.325688
1135.0000,0.325317
1136.0000,0.326450
1137.0000,0.323822
1138.0000,0.327706
1139.0000,0.322685
1140.0000,0.328168
1141.0000,0.325693
1142.0000,0.322123
1143.0000,0.323194
1144.0000,0.327446
1145.0000,0.325671
1146.0000,0.327800
1147.0000,0.326834
1148.0000,0.329753
1149.0000,0.324211
1150.0000,0.324999
1151.0000,0.326426
1152.0000,0.325834
1153.0000,0.326076
1154.0000,0.328073
1155.0000,0.325254
1156.0000,0.326244
1157.0000,0.326840
1158.0000,0.327002
1159.0000,0.326844
1160.0000,0.327697
1161.0000,0.326353
1162.0000,0.328206
1163.0000,0.328862
1164.0000,0.328204
1165.0000,0.324930
1166.0000,0.325280
1167.0000,0.325860
1168.0000,0.325550
1169.0000,0.327987
1170.0000,0.328456
1171.0000,0.328058
1172.0000,0.329128
1173.0000,0.325861
1174.0000,0.324283
1175.0000,0.324167
1176.0000,0.325648
1177.0000,0.324848
1178.0000,0.326571
1179.0000,0.328934
1180.0000,0.327793
1181.0000,0.328371
1182.0000,0.328061
1183.0000,0.326904
1184.0000,0.327930
1185.0000,0.328573
1186.0000,0.330348
1187.0000,0.327985
1188.0000,0.328969
1189.0000,0.329353
1190.0000,0.327413
1191.0000,0.327828
1192.0000,0.324548
1193.0000,0.325862
1194.0000,0.328867
1195.0000,0.328309
1196.0000,0.328458
1197.0000,0.329361
1198.0000,0.326570
1199.0000,0.327663
1200.0000,0.327384
1201.0000,0.327951
1202.0000,0.328103
1203.0000,0.328359
1204.0000,0.325409
1205.0000,0.327685
1206.0000,0.329225
1207.0000,0.330011
1208.0000,0.327929
1209.0000,0.328409
1210.0000,0.328408
1211.0000,0.327746
1212.0000,0.329171
1213.0000,0.326694
1214.0000,0.329074
1215.0000,0.328915
1216.0000,0.329094
1217.0000,0.327809
1218.0000,0.331563
1219.0000,0.332357
1220.0000,0.329224
1221.0000,0.329178
1222.0000,0.330035
1223.0000,0.329313
1224.0000,0.330851
1225.0000,0.328048
1226.0000,0.328022
1227.0000,0.329923
1228.0000,0.329121
1229.0000,0.329545
1230.0000,0.329999
1231.0000,0.329659
1232.0000,0.330047
1233.0000,0.328932
1234.0000,0.327085
1235.0000,0.328735
1236.0000,0.330152
1237.0000,0.330491
1238.0000,0.328218
1239.0000,0.332318
1240.0000,0.329028
1241.0000,0.327510
1242.0000,0.331523
1243.0000,0.330127
1244.0000,0.328077
1245.0000,0.330119
1246.0000,0.328612
1247.0000,0.329637
1248.0000,0.327532
1249.0000,0.330212
1250.0000,0.330374
1251.0000,0.330665
1252.0000,0.330861
1253.0000,0.327379
1254.0000,0.326770
1255.0000,0.330672
1256.0000,0.328930
1257.0000,0.329287
1258.0000,0.330383
1259.0000,0.330690
1260.0000,0.331092
1261.0000,0.328068
1262.0000,0.331866
1263.0000,0.329144
1264.0000,0.330581
1265.0000,0.330586
1266.0000,0.325923
1267.0000,0.334392
1268.0000,0.329013
1269.0000,0.329938
1270.0000,0.329362
1271.0000,0.328770
1272.0000,0.329204
1273.0000,0.328745
1274.0000,0.330187
1275.0000,0.329993
1276.0000,0.328481
1277.0000,0.328675
1278.0000,0.331245
1279.0000,0.330075
1280.0000,0.332487
1281.0000,0.330043
1282.0000,0.329838
1283.0000,0.330708
1284.0000,0.329331
1285.0000,0.330903
1286.0000,0.328621
1287.0000,0.327447
1288.0000,0.329388
1289.0000,0.330848
1290.0000,0.332481
1291.0000,0.329332
1292.0000,0.329122
1293.0000,0.331022
1294.0000,0.329402
1295.0000,0.328369
1296.0000,0.330141
1297.0000,0.329367
1298.0000,0.327721
1299.0000,0.329083
1300.0000,0.329209
1301.0000,0.331340
1302.0000,0.330070
1303.0000,0.330278
1304.0000,0.328743
1305.0000,0.329567
1306.0000,0.328839
1307.0000,0.328557
1308.0000,0.334456
1309.0000,0.328405
1310.0000,0.329910
1311.0000,0.329607
1312.0000,0.332681
1313.0000,0.330872
1314.0000,0.329545
1315.0000,0.328615
1316.0000,0.330256
1317.0000,0.330059
1318.0000,0.331894
1319.0000,0.331363
1320.0000,0.329743
1321.0000,0.333247
1322.0000,0.329056
1323.0000,0.329296
1324.0000,0.331844
1325.0000,0.329289
1326.0000,0.328735
1327.0000,0.330731
1328.0000,0.328143
1329.0000,0.331769
1330.0000,0.331448
1331.0000,0.331896
1332.0000,0.328578
1333.0000,0.329876
1334.0000,0.330317
1335.0000,0.332861
1336.0000,0.333380
1337.0000,0.329141
1338.0000,0.332101
1339.0000,0.331375
1340.0000,0.332604
1341.0000,0.329610
1342.0000,0.330340
1343.0000,0.330647
1344.0000,0.330482
1345.0000,0.329351
1346.0000,0.331700
1347.0000,0.329188
1348.0000,0.331685
1349.0000,0.331665
1350.0000,0.329734
1351.0000,0.330381
1352.0000,0.331654
1353.0000,0.328256
1354.0000,0.330052
1355.0000,0.329978
1356.0000,0.329746
1357.0000,0.329934
1358.0000,0.330622
1359.0000,0.331364
1360.0000,0.332724
1361.0000,0.333840
1362.0000,0.332960
1363.0000,0.333946
1364.0000,0.332078
1365.0000,0.330078
1366.0000,0.329143
1367.0000,0.332776
1368.0000,0.331852
1369.0000,0.329201
1370.0000,0.330149
1371.0000,0.331568
1372.0000,0.331362
1373.0000,0.331745
1374.0000,0.329497
1375.0000,0.333818
1376.0000,0.333155
1377.0000,0.331645
1378.0000,0.332934
1379.0000,0.332318
1380.0000,0.333234
1381.0000,0.332831
1382.0000,0.330820
1383.0000,0.332850
1384.0000,0.329355
1385.0000,0.330306
1386.0000,0.330876
1387.0000,0.330672
1388.0000,0.331028
1389.0000,0.330773
1390.0000,0.332341
1391.0000,0.333787
1392.0000,0.332338
1393.0000,0.331004
1394.0000,0.331591
1395.0000,0.331480
1396.0000,0.330206
1397.0000,0.331590
1398.0000,0.330538
1399.0000,0.329614
1400.0000,0.331037
1401.0000,0.331957
1402.0000,0.328519
1403.0000,0.332193
1404.0000,0.334837
1405.0000,0.330892
1406.0000,0.332510
1407.0000,0.330856
1408.0000,0.333861
1409.0000,0.333058
1410.0000,0.331587
1411.0000,0.333883
1412.0000,0.331378
1413.0000,0.331618
1414.0000,0.328754
1415.0000,0.333623
1416.0000,0.331600
1417.0000,0.331968
1418.0000,0.332671
1419.0000,0.333034
1420.0000,0.332661
1421.0000,0.332413
1422.0000,0.331469
1423.0000,0.335702
1424.0000,0.330474
1425.0000,0.332046
1426.0000,0.334559
1427.0000,0.332500
1428.0000,0.332342
1429.0000,0.330227
1430.0000,0.329957
1431.0000,0.332490
1432.0000,0.331256
1433.0000,0.331194
1434.0000,0.331971
1435.0000,0.332687
1436.0000,0.330640
1437.0000,0.333303
1438.0000,0.331899
1439.0000,0.332506
1440.0000,0.330976
1441.0000,0.330240
1442.0000,0.333043
1443.0000,0.331016
1444.0000,0.332086
1445.0000,0.331974
1446.0000,0.333238
1447.0000,0.332320
1448.0000,0.331853
1449.0000,0.330816
1450.0000,0.332012
1451.0000,0.333293
1452.0000,0.333499
1453.0000,0.334475
1454.0000,0.331016
1455.0000,0.332938
1456.0000,0.332942
1457.0000,0.334222
1458.0000,0.333175
1459.0000,0.334093
1460.0000,0.330796
1461.0000,0.332324
1462.0000,0.334567
1463.0000,0.334931
1464.0000,0.331370
1465.0000,0.334613
1466.0000,0.332092
1467.0000,0.333086
1468.0000,0.331778
1469.0000,0.330291
1470.0000,0.333312
1471.0000,0.331856
1472.0000,0.333056
1473.0000,0.333564
1474.0000,0.332323
1475.0000,0.332386
1476.0000,0.330043
1477.0000,0.332935
1478.0000,0.332573
1479.0000,0.332732
1480.0000,0.335224
1481.0000,0.333141
1482.0000,0.332630
1483.0000,0.333991
1484.0000,0.331498
1485.0000,0.330526
1486.0000,0.332579
1487.0000,0.333747
1488.0000,0.332976
1489.0000,0.333535
1490.0000,0.332775
1491.0000,0.332375
1492.0000,0.334330
1493.0000,0.336455
1494.0000,0.332505
1495.0000,0.332038
1496.0000,0.332842
1497.0000,0.332267
1498.0000,0.331313
1499.0000,0.331593
1500.0000,0.331656
1501.0000,0.332542
1502.0000,0.332783
1503.0000,0.334274
1504.0000,0.333308
1505.0000,0.332590
1506.0000,0.335981
1507.0000,0.333597
1508.0000,0.330807
1509.0000,0.333957
1510.0000,0.332733
1511.0000,0.333705
1512.0000,0.332689
1513.0000,0.332435
1514.0000,0.334162
1515.0000,0.332177
1516.0000,0.333832
1517.0000,0.333318
1518.0000,0.335034
1519.0000,0.334134
1520.0000,0.331952
1521.0000,0.332679
1522.0000,0.331885
1523.0000,0.329549
1524.0000,0.331821
1525.0000,0.333754
1526.0000,0.332711
1527.0000,0.334412
1528.0000,0.332745
1529.0000,0.333282
1530.0000,0.331211
1531.0000,0.334308
1532.0000,0.334253
1533.0000,0.334280
1534.0000,0.334620
1535.0000,0.332117
1536.0000,0.334180
1537.0000,0.332915
1538.0000,0.335819
1539.0000,0.335807
1540.0000,0.333260
1541.0000,0.334564
1542.0000,0.334152
1543.0000,0.333163
1544.0000,0.334338
1545.0000,0.336227
1546.0000,0.332785
1547.0000,0.334192
1548.0000,0.335604
1549.0000,0.333945
1550.0000,0.337027
1551.0000,0.335487
1552.0000,0.333536
1553.0000,0.335141
1554.0000,0.331772
1555.0000,0.333743
1556.0000,0.332854
1557.0000,0.333210
1558.0000,0.333908
1559.0000,0.336085
1560.0000,0.336816
1561.0000,0.332365
1562.0000,0.336496
1563.0000,0.334660
1564.0000,0.335761
1565.0000,0.333828
1566.0000,0.334556
1567.0000,0.334346
1568.0000,0.333292
1569.0000,0.336299
1570.0000,0.333431
1571.0000,0.335033
1572.0000,0.331153
1573.0000,0.333301
1574.0000,0.335115
1575.0000,0.331580
1576.0000,0.334240
1577.0000,0.332297
1578.0000,0.333850
1579.0000,0.333559
1580.0000,0.332646
1581.0000,0.331997
1582.0000,0.335180
