# swirl-format: 1
# swirl-version: 0.1.0.dev0
# quantity: reflectance
# [white_mica] meta: {"synthetic": true, "end_member": "white_mica", "label": "White mica (muscovite-like, AlOH ~2200 nm)"}
# [white_mica] history: [{"name": "synthesize", "params": {"end_member": {"key": "white_mica", "label": "White mica (muscovite-like, AlOH ~2200 nm)", "continuum": [[350.0, 0.45], [600.0, 0.62], [1000.0, 0.72], [1400.0, 0.78], [2000.0, 0.76], [2500.0, 0.68]], "features": [{"center": 1408.0, "fwhm": 20.0, "depth": 0.12, "assignment": "OH"}, {"center": 1912.0, "fwhm": 40.0, "depth": 0.05, "assignment": "H2O"}, {"center": 2120.0, "fwhm": 25.0, "depth": 0.04, "assignment": "AlOH shoulder"}, {"center": 2200.0, "fwhm": 38.0, "depth": 0.35, "assignment": "AlOH"}, {"center": 2350.0, "fwhm": 25.0, "depth": 0.15, "assignment": "AlOH secondary"}, {"center": 2440.0, "fwhm": 25.0, "depth": 0.1, "assignment": "AlOH secondary"}]}}, "swirl_version": "0.1.0.dev0"}]
wavelength_nm,white_mica
495.0000,0.563460
496.0000,0.564132
497.0000,0.564803
498.0000,0.565472
499.0000,0.566138
500.0000,0.566803
501.0000,0.567465
502.0000,0.568125
503.0000,0.568782
504.0000,0.569438
505.0000,0.570091
506.0000,0.570742
507.0000,0.571390
508.0000,0.572037
509.0000,0.572681
510.0000,0.573323
511.0000,0.573962
512.0000,0.574599
513.0000,0.575234
514.0000,0.575867
515.0000,0.576497
516.0000,0.577124
517.0000,0.577750
518.0000,0.578372
519.0000,0.578993
520.0000,0.579611
521.0000,0.580226
522.0000,0.580840
523.0000,0.581450
524.0000,0.582058
525.0000,0.582664
526.0000,0.583267
527.0000,0.583868
528.0000,0.584466
529.0000,0.585061
530.0000,0.585654
531.0000,0.586244
532.0000,0.586832
533.0000,0.587417
534.0000,0.588000
535.0000,0.588579
536.0000,0.589157
537.0000,0.589731
538.0000,0.590303
539.0000,0.590872
540.0000,0.591439
541.0000,0.592003
542.0000,0.592564
543.0000,0.593122
544.0000,0.593678
545.0000,0.594230
546.0000,0.594781
547.0000,0.595328
548.0000,0.595872
549.0000,0.596414
550.0000,0.596953
551.0000,0.597489
552.0000,0.598022
553.0000,0.598552
554.0000,0.599079
555.0000,0.599604
556.0000,0.600125
557.0000,0.600644
558.0000,0.601160
559.0000,0.601673
560.0000,0.602182
561.0000,0.602689
562.0000,0.603193
563.0000,0.603694
564.0000,0.604192
565.0000,0.604687
566.0000,0.605179
567.0000,0.605667
568.0000,0.606153
569.0000,0.606636
570.0000,0.607115
571.0000,0.607591
572.0000,0.608065
573.0000,0.608535
574.0000,0.609002
575.0000,0.609466
576.0000,0.609927
577.0000,0.610384
578.0000,0.610838
579.0000,0.611290
580.0000,0.611738
581.0000,0.612182
582.0000,0.612624
583.0000,0.613062
584.0000,0.613497
585.0000,0.613928
586.0000,0.614357
587.0000,0.614782
588.0000,0.615203
589.0000,0.615622
590.0000,0.616037
591.0000,0.616449
592.0000,0.616857
593.0000,0.617262
594.0000,0.617663
595.0000,0.618061
596.0000,0.618456
597.0000,0.618847
598.0000,0.619235
599.0000,0.619619
600.0000,0.620000
601.0000,0.620379
602.0000,0.620756
603.0000,0.621133
604.0000,0.621508
605.0000,0.621883
606.0000,0.622257
607.0000,0.622630
608.0000,0.623001
609.0000,0.623372
610.0000,0.623742
611.0000,0.624111
612.0000,0.624479
613.0000,0.624846
614.0000,0.625212
615.0000,0.625577
616.0000,0.625942
617.0000,0.626305
618.0000,0.626667
619.0000,0.627029
620.0000,0.627389
621.0000,0.627749
622.0000,0.628107
623.0000,0.628465
624.0000,0.628822
625.0000,0.629178
626.0000,0.629533
627.0000,0.629887
628.0000,0.630240
629.0000,0.630592
630.0000,0.630943
631.0000,0.631294
632.0000,0.631643
633.0000,0.631992
634.0000,0.632339
635.0000,0.632686
636.0000,0.633032
637.0000,0.633377
638.0000,0.633721
639.0000,0.634065
640.0000,0.634407
641.0000,0.634748
642.0000,0.635089
643.0000,0.635429
644.0000,0.635768
645.0000,0.636106
646.0000,0.636443
647.0000,0.636779
648.0000,0.637115
649.0000,0.637449
650.0000,0.637783
651.0000,0.638116
652.0000,0.638448
653.0000,0.638779
654.0000,0.639109
655.0000,0.639439
656.0000,0.639767
657.0000,0.640095
658.0000,0.640422
659.0000,0.640748
660.0000,0.641073
661.0000,0.641398
662.0000,0.641722
663.0000,0.642044
664.0000,0.642366
665.0000,0.642688
666.0000,0.643008
667.0000,0.643327
668.0000,0.643646
669.0000,0.643964
670.0000,0.644281
671.0000,0.644598
672.0000,0.644913
673.0000,0.645228
674.0000,0.645542
675.0000,0.645855
676.0000,0.646167
677.0000,0.646479
678.0000,0.646789
679.0000,0.647099
680.0000,0.647409
681.0000,0.647717
682.0000,0.648025
683.0000,0.648331
684.0000,0.648638
685.0000,0.648943
686.0000,0.649247
687.0000,0.649551
688.0000,0.649854
689.0000,0.650157
690.0000,0.650458
691.0000,0.650759
692.0000,0.651059
693.0000,0.651358
694.0000,0.651657
695.0000,0.651954
696.0000,0.652251
697.0000,0.652548
698.0000,0.652843
699.0000,0.653138
700.0000,0.653432
701.0000,0.653726
702.0000,0.654018
703.0000,0.654310
704.0000,0.654601
705.0000,0.654892
706.0000,0.655182
707.0000,0.655471
708.0000,0.655759
709.0000,0.656047
710.0000,0.656334
711.0000,0.656620
712.0000,0.656905
713.0000,0.657190
714.0000,0.657474
715.0000,0.657758
716.0000,0.658040
717.0000,0.658322
718.0000,0.658604
719.0000,0.658885
720.0000,0.659165
721.0000,0.659444
722.0000,0.659723
723.0000,0.660000
724.0000,0.660278
725.0000,0.660554
726.0000,0.660830
727.0000,0.661106
728.0000,0.661380
729.0000,0.661654
730.0000,0.661928
731.0000,0.662200
732.0000,0.662472
733.0000,0.662744
734.0000,0.663014
735.0000,0.663284
736.0000,0.663554
737.0000,0.663823
738.0000,0.664091
739.0000,0.664358
740.0000,0.664625
741.0000,0.664892
742.0000,0.665157
743.0000,0.665422
744.0000,0.665687
745.0000,0.665950
746.0000,0.666214
747.0000,0.666476
748.0000,0.666738
749.0000,0.666999
750.0000,0.667260
751.0000,0.667520
752.0000,0.667780
753.0000,0.668039
754.0000,0.668297
755.0000,0.668555
756.0000,0.668812
757.0000,0.669068
758.0000,0.669324
759.0000,0.669580
760.0000,0.669835
761.0000,0.670089
762.0000,0.670343
763.0000,0.670596
764.0000,0.670848
765.0000,0.671100
766.0000,0.671351
767.0000,0.671602
768.0000,0.671852
769.0000,0.672102
770.0000,0.672351
771.0000,0.672600
772.0000,0.672848
773.0000,0.673095
774.0000,0.673342
775.0000,0.673589
776.0000,0.673834
777.0000,0.674080
778.0000,0.674325
779.0000,0.674569
780.0000,0.674812
781.0000,0.675056
782.0000,0.675298
783.0000,0.675540
784.0000,0.675782
785.0000,0.676023
786.0000,0.676264
787.0000,0.676504
788.0000,0.676743
789.0000,0.676982
790.0000,0.677221
791.0000,0.677459
792.0000,0.677696
793.0000,0.677933
794.0000,0.678170
795.0000,0.678406
796.0000,0.678641
797.0000,0.678876
798.0000,0.679111
799.0000,0.679345
800.0000,0.679579
801.0000,0.679812
802.0000,0.680044
803.0000,0.680277
804.0000,0.680508
805.0000,0.680740
806.0000,0.680970
807.0000,0.681201
808.0000,0.681430
809.0000,0.681660
810.0000,0.681889
811.0000,0.682117
812.0000,0.682345
813.0000,0.682573
814.0000,0.682800
815.0000,0.683027
816.0000,0.683253
817.0000,0.683479
818.0000,0.683704
819.0000,0.683929
820.0000,0.684153
821.0000,0.684377
822.0000,0.684601
823.0000,0.684824
824.0000,0.685047
825.0000,0.685269
826.0000,0.685491
827.0000,0.685713
828.0000,0.685934
829.0000,0.686155
830.0000,0.686375
831.0000,0.686595
832.0000,0.686815
833.0000,0.687034
834.0000,0.687252
835.0000,0.687471
836.0000,0.687689
837.0000,0.687906
838.0000,0.688123
839.0000,0.688340
840.0000,0.688556
841.0000,0.688772
842.0000,0.688988
843.0000,0.689203
844.0000,0.689418
845.0000,0.689633
846.0000,0.689847
847.0000,0.690061
848.0000,0.690274
849.0000,0.690487
850.0000,0.690700
851.0000,0.690912
852.0000,0.691124
853.0000,0.691336
854.0000,0.691547
855.0000,0.691758
856.0000,0.691969
857.0000,0.692179
858.0000,0.692389
859.0000,0.692599
860.0000,0.692808
861.0000,0.693017
862.0000,0.693225
863.0000,0.693434
864.0000,0.693642
865.0000,0.693849
866.0000,0.694057
867.0000,0.694264
868.0000,0.694470
869.0000,0.694677
870.0000,0.694883
871.0000,0.695089
872.0000,0.695294
873.0000,0.695499
874.0000,0.695704
875.0000,0.695909
876.0000,0.696113
877.0000,0.696317
878.0000,0.696521
879.0000,0.696724
880.0000,0.696928
881.0000,0.697131
882.0000,0.697333
883.0000,0.697536
884.0000,0.697738
885.0000,0.697939
886.0000,0.698141
887.0000,0.698342
888.0000,0.698543
889.0000,0.698744
890.0000,0.698944
891.0000,0.699145
892.0000,0.699345
893.0000,0.699544
894.0000,0.699744
895.0000,0.699943
896.0000,0.700142
897.0000,0.700341
898.0000,0.700539
899.0000,0.700738
900.0000,0.700936
901.0000,0.701134
902.0000,0.701331
903.0000,0.701529
904.0000,0.701726
905.0000,0.701923
906.0000,0.702119
907.0000,0.702316
908.0000,0.702512
909.0000,0.702708
910.0000,0.702904
911.0000,0.703100
912.0000,0.703295
913.0000,0.703491
914.0000,0.703686
915.0000,0.703881
916.0000,0.704075
917.0000,0.704270
918.0000,0.704464
919.0000,0.704658
920.0000,0.704852
921.0000,0.705046
922.0000,0.705240
923.0000,0.705433
924.0000,0.705626
925.0000,0.705819
926.0000,0.706012
927.0000,0.706205
928.0000,0.706397
929.0000,0.706590
930.0000,0.706782
931.0000,0.706974
932.0000,0.707166
933.0000,0.707358
934.0000,0.707550
935.0000,0.707741
936.0000,0.707933
937.0000,0.708124
938.0000,0.708315
939.0000,0.708506
940.0000,0.708697
941.0000,0.708887
942.0000,0.709078
943.0000,0.709269
944.0000,0.709459
945.0000,0.709649
946.0000,0.709839
947.0000,0.710029
948.0000,0.710219
949.0000,0.710409
950.0000,0.710598
951.0000,0.710788
952.0000,0.710977
953.0000,0.711167
954.0000,0.711356
955.0000,0.711545
956.0000,0.711734
957.0000,0.711923
958.0000,0.712112
959.0000,0.712301
960.0000,0.712490
961.0000,0.712678
962.0000,0.712867
963.0000,0.713055
964.0000,0.713244
965.0000,0.713432
966.0000,0.713620
967.0000,0.713809
968.0000,0.713997
969.0000,0.714185
970.0000,0.714373
971.0000,0.714561
972.0000,0.714749
973.0000,0.714937
974.0000,0.715125
975.0000,0.715312
976.0000,0.715500
977.0000,0.715688
978.0000,0.715875
979.0000,0.716063
980.0000,0.716251
981.0000,0.716438
982.0000,0.716626
983.0000,0.716813
984.0000,0.717001
985.0000,0.717188
986.0000,0.717376
987.0000,0.717563
988.0000,0.717751
989.0000,0.717938
990.0000,0.718126
991.0000,0.718313
992.0000,0.718500
993.0000,0.718688
994.0000,0.718875
995.0000,0.719063
996.0000,0.719250
997.0000,0.719438
998.0000,0.719625
999.0000,0.719813
1000.0000,0.720000
1001.0000,0.720188
1002.0000,0.720376
1003.0000,0.720564
1004.0000,0.720753
1005.0000,0.720942
1006.0000,0.721132
1007.0000,0.721321
1008.0000,0.721512
1009.0000,0.721702
1010.0000,0.721893
1011.0000,0.722084
1012.0000,0.722276
1013.0000,0.722468
1014.0000,0.722660
1015.0000,0.722852
1016.0000,0.723045
1017.0000,0.723238
1018.0000,0.723432
1019.0000,0.723625
1020.0000,0.723819
1021.0000,0.724014
1022.0000,0.724208
1023.0000,0.724403
1024.0000,0.724598
1025.0000,0.724794
1026.0000,0.724989
1027.0000,0.725185
1028.0000,0.725382
1029.0000,0.725578
1030.0000,0.725775
1031.0000,0.725972
1032.0000,0.726169
1033.0000,0.726366
1034.0000,0.726564
1035.0000,0.726762
1036.0000,0.726960
1037.0000,0.727159
1038.0000,0.727357
1039.0000,0.727556
1040.0000,0.727755
1041.0000,0.727954
1042.0000,0.728154
1043.0000,0.728353
1044.0000,0.728553
1045.0000,0.728753
1046.0000,0.728953
1047.0000,0.729154
1048.0000,0.729354
1049.0000,0.729555
1050.0000,0.729756
1051.0000,0.729957
1052.0000,0.730158
1053.0000,0.730360
1054.0000,0.730561
1055.0000,0.730763
1056.0000,0.730965
1057.0000,0.731166
1058.0000,0.731369
1059.0000,0.731571
1060.0000,0.731773
1061.0000,0.731976
1062.0000,0.732178
1063.0000,0.732381
1064.0000,0.732584
1065.0000,0.732787
1066.0000,0.732990
1067.0000,0.733193
1068.0000,0.733396
1069.0000,0.733599
1070.0000,0.733803
1071.0000,0.734006
1072.0000,0.734210
1073.0000,0.734413
1074.0000,0.734617
1075.0000,0.734821
1076.0000,0.735024
1077.0000,0.735228
1078.0000,0.735432
1079.0000,0.735636
1080.0000,0.735840
1081.0000,0.736044
1082.0000,0.736248
1083.0000,0.736452
1084.0000,0.736656
1085.0000,0.736860
1086.0000,0.737065
1087.0000,0.737269
1088.0000,0.737473
1089.0000,0.737677
1090.0000,0.737881
1091.0000,0.738085
1092.0000,0.738289
1093.0000,0.738494
1094.0000,0.738698
1095.0000,0.738902
1096.0000,0.739106
1097.0000,0.739310
1098.0000,0.739514
1099.0000,0.739718
1100.0000,0.739922
1101.0000,0.740126
1102.0000,0.740330
1103.0000,0.740533
1104.0000,0.740737
1105.0000,0.740941
1106.0000,0.741144
1107.0000,0.741348
1108.0000,0.741551
1109.0000,0.741755
1110.0000,0.741958
1111.0000,0.742161
1112.0000,0.742364
1113.0000,0.742567
1114.0000,0.742770
1115.0000,0.742973
1116.0000,0.743175
1117.0000,0.743378
1118.0000,0.743580
1119.0000,0.743783
1120.0000,0.743985
1121.0000,0.744187
1122.0000,0.744389
1123.0000,0.744591
1124.0000,0.744792
1125.0000,0.744994
1126.0000,0.745195
1127.0000,0.745396
1128.0000,0.745597
1129.0000,0.745798
1130.0000,0.745999
1131.0000,0.746199
1132.0000,0.746400
1133.0000,0.746600
1134.0000,0.746800
1135.0000,0.747000
1136.0000,0.747199
1137.0000,0.747399
1138.0000,0.747598
1139.0000,0.747797
1140.0000,0.747996
1141.0000,0.748194
1142.0000,0.748393
1143.0000,0.748591
1144.0000,0.748788
1145.0000,0.748986
1146.0000,0.749184
1147.0000,0.749381
1148.0000,0.749578
1149.0000,0.749774
1150.0000,0.749971
1151.0000,0.750167
1152.0000,0.750363
1153.0000,0.750558
1154.0000,0.750754
1155.0000,0.750949
1156.0000,0.751144
1157.0000,0.751338
1158.0000,0.751532
1159.0000,0.751726
1160.0000,0.751920
1161.0000,0.752113
1162.0000,0.752306
1163.0000,0.752499
1164.0000,0.752692
1165.0000,0.752884
1166.0000,0.753075
1167.0000,0.753267
1168.0000,0.753458
1169.0000,0.753649
1170.0000,0.753839
1171.0000,0.754029
1172.0000,0.754219
1173.0000,0.754409
1174.0000,0.754598
1175.0000,0.754786
1176.0000,0.754975
1177.0000,0.755163
1178.0000,0.755350
1179.0000,0.755538
1180.0000,0.755724
1181.0000,0.755911
1182.0000,0.756097
1183.0000,0.756283
1184.0000,0.756468
1185.0000,0.756653
1186.0000,0.756837
1187.0000,0.757021
1188.0000,0.757205
1189.0000,0.757388
1190.0000,0.757571
1191.0000,0.757753
1192.0000,0.757935
1193.0000,0.758117
1194.0000,0.758298
1195.0000,0.758479
1196.0000,0.758659
1197.0000,0.758839
1198.0000,0.759018
1199.0000,0.759197
1200.0000,0.759375
1201.0000,0.759553
1202.0000,0.759730
1203.0000,0.759907
1204.0000,0.760084
1205.0000,0.760260
1206.0000,0.760435
1207.0000,0.760610
1208.0000,0.760785
1209.0000,0.760959
1210.0000,0.761132
1211.0000,0.761305
1212.0000,0.761478
1213.0000,0.761649
1214.0000,0.761821
1215.0000,0.761992
1216.0000,0.762162
1217.0000,0.762332
1218.0000,0.762501
1219.0000,0.762670
1220.0000,0.762838
1221.0000,0.763006
1222.0000,0.763173
1223.0000,0.763339
1224.0000,0.763505
1225.0000,0.763671
1226.0000,0.763835
1227.0000,0.764000
1228.0000,0.764163
1229.0000,0.764326
1230.0000,0.764489
1231.0000,0.764651
1232.0000,0.764812
1233.0000,0.764973
1234.0000,0.765133
1235.0000,0.765292
1236.0000,0.765451
1237.0000,0.765609
1238.0000,0.765767
1239.0000,0.765924
1240.0000,0.766080
1241.0000,0.766236
1242.0000,0.766391
1243.0000,0.766545
1244.0000,0.766699
1245.0000,0.766852
1246.0000,0.767004
1247.0000,0.767156
1248.0000,0.767307
1249.0000,0.767458
1250.0000,0.767607
1251.0000,0.767756
1252.0000,0.767905
1253.0000,0.768053
1254.0000,0.768200
1255.0000,0.768346
1256.0000,0.768492
1257.0000,0.768636
1258.0000,0.768781
1259.0000,0.768924
1260.0000,0.769067
1261.0000,0.769209
1262.0000,0.769350
1263.0000,0.769491
1264.0000,0.769631
1265.0000,0.769770
1266.0000,0.769908
1267.0000,0.770046
1268.0000,0.770183
1269.0000,0.770319
1270.0000,0.770454
1271.0000,0.770589
1272.0000,0.770723
1273.0000,0.770856
1274.0000,0.770988
1275.0000,0.771119
1276.0000,0.771250
1277.0000,0.771380
1278.0000,0.771509
1279.0000,0.771637
1280.0000,0.771765
1281.0000,0.771892
1282.0000,0.772018
1283.0000,0.772143
1284.0000,0.772267
1285.0000,0.772390
1286.0000,0.772513
1287.0000,0.772635
1288.0000,0.772756
1289.0000,0.772876
1290.0000,0.772995
1291.0000,0.773114
1292.0000,0.773231
1293.0000,0.773348
1294.0000,0.773464
1295.0000,0.773579
1296.0000,0.773693
1297.0000,0.773806
1298.0000,0.773919
1299.0000,0.774030
1300.0000,0.774141
1301.0000,0.774250
1302.0000,0.774359
1303.0000,0.774467
1304.0000,0.774574
1305.0000,0.774680
1306.0000,0.774785
1307.0000,0.774890
1308.0000,0.774993
1309.0000,0.775095
1310.0000,0.775197
1311.0000,0.775298
1312.0000,0.775397
1313.0000,0.775496
1314.0000,0.775594
1315.0000,0.775690
1316.0000,0.775786
1317.0000,0.775881
1318.0000,0.775975
1319.0000,0.776068
1320.0000,0.776160
1321.0000,0.776251
1322.0000,0.776341
1323.0000,0.776430
1324.0000,0.776518
1325.0000,0.776605
1326.0000,0.776691
1327.0000,0.776776
1328.0000,0.776860
1329.0000,0.776943
1330.0000,0.777026
1331.0000,0.777107
1332.0000,0.777187
1333.0000,0.777266
1334.0000,0.777344
1335.0000,0.777420
1336.0000,0.777496
1337.0000,0.777571
1338.0000,0.777645
1339.0000,0.777718
1340.0000,0.777789
1341.0000,0.777860
1342.0000,0.777930
1343.0000,0.777998
1344.0000,0.778065
1345.0000,0.778132
1346.0000,0.778197
1347.0000,0.778261
1348.0000,0.778324
1349.0000,0.778386
1350.0000,0.778447
1351.0000,0.778507
1352.0000,0.778566
1353.0000,0.778623
1354.0000,0.778680
1355.0000,0.778735
1356.0000,0.778789
1357.0000,0.778842
1358.0000,0.778894
1359.0000,0.778945
1360.0000,0.778995
1361.0000,0.779044
1362.0000,0.779091
1363.0000,0.779137
1364.0000,0.779182
1365.0000,0.779226
1366.0000,0.779269
1367.0000,0.779310
1368.0000,0.779350
1369.0000,0.779388
1370.0000,0.779424
1371.0000,0.779458
1372.0000,0.779489
1373.0000,0.779516
1374.0000,0.779538
1375.0000,0.779552
1376.0000,0.779554
1377.0000,0.779542
1378.0000,0.779507
1379.0000,0.779442
1380.0000,0.779335
1381.0000,0.779170
1382.0000,0.778928
1383.0000,0.778584
1384.0000,0.778108
1385.0000,0.777463
1386.0000,0.776606
1387.0000,0.775488
1388.0000,0.774057
1389.0000,0.772256
1390.0000,0.770029
1391.0000,0.767321
1392.0000,0.764087
1393.0000,0.760292
1394.0000,0.755919
1395.0000,0.750975
1396.0000,0.745492
1397.0000,0.739534
1398.0000,0.733198
1399.0000,0.726612
1400.0000,0.719936
1401.0000,0.713354
1402.0000,0.707070
1403.0000,0.701292
1404.0000,0.696225
1405.0000,0.692059
1406.0000,0.688957
1407.0000,0.687043
1408.0000,0.686396
1409.0000,0.687041
1410.0000,0.688953
1411.0000,0.692053
1412.0000,0.696216
1413.0000,0.701281
1414.0000,0.707057
1415.0000,0.713340
1416.0000,0.719919
1417.0000,0.726593
1418.0000,0.733178
1419.0000,0.739515
1420.0000,0.745474
1421.0000,0.750960
1422.0000,0.755908
1423.0000,0.760286
1424.0000,0.764087
1425.0000,0.767329
1426.0000,0.770045
1427.0000,0.772282
1428.0000,0.774094
1429.0000,0.775537
1430.0000,0.776667
1431.0000,0.777539
1432.0000,0.778199
1433.0000,0.778692
1434.0000,0.779053
1435.0000,0.779314
1436.0000,0.779498
1437.0000,0.779627
1438.0000,0.779714
1439.0000,0.779771
1440.0000,0.779808
1441.0000,0.779830
1442.0000,0.779843
1443.0000,0.779848
1444.0000,0.779850
1445.0000,0.779848
1446.0000,0.779844
1447.0000,0.779840
1448.0000,0.779834
1449.0000,0.779828
1450.0000,0.779821
1451.0000,0.779814
1452.0000,0.779807
1453.0000,0.779800
1454.0000,0.779792
1455.0000,0.779784
1456.0000,0.779777
1457.0000,0.779769
1458.0000,0.779761
1459.0000,0.779752
1460.0000,0.779744
1461.0000,0.779735
1462.0000,0.779727
1463.0000,0.779718
1464.0000,0.779709
1465.0000,0.779700
1466.0000,0.779691
1467.0000,0.779682
1468.0000,0.779672
1469.0000,0.779663
1470.0000,0.779653
1471.0000,0.779643
1472.0000,0.779633
1473.0000,0.779623
1474.0000,0.779613
1475.0000,0.779602
1476.0000,0.779592
1477.0000,0.779581
1478.0000,0.779570
1479.0000,0.779560
1480.0000,0.779549
1481.0000,0.779537
1482.0000,0.779526
1483.0000,0.779515
1484.0000,0.779503
1485.0000,0.779491
1486.0000,0.779480
1487.0000,0.779468
1488.0000,0.779455
1489.0000,0.779443
1490.0000,0.779431
1491.0000,0.779418
1492.0000,0.779406
1493.0000,0.779393
1494.0000,0.779380
1495.0000,0.779367
1496.0000,0.779354
1497.0000,0.779341
1498.0000,0.779327
1499.0000,0.779314
1500.0000,0.779300
1501.0000,0.779287
1502.0000,0.779273
1503.0000,0.779259
1504.0000,0.779244
1505.0000,0.779230
1506.0000,0.779216
1507.0000,0.779201
1508.0000,0.779187
1509.0000,0.779172
1510.0000,0.779157
1511.0000,0.779142
1512.0000,0.779127
1513.0000,0.779111
1514.0000,0.779096
1515.0000,0.779080
1516.0000,0.779065
1517.0000,0.779049
1518.0000,0.779033
1519.0000,0.779017
1520.0000,0.779001
1521.0000,0.778984
1522.0000,0.778968
1523.0000,0.778951
1524.0000,0.778935
1525.0000,0.778918
1526.0000,0.778901
1527.0000,0.778884
1528.0000,0.778867
1529.0000,0.778850
1530.0000,0.778832
1531.0000,0.778815
1532.0000,0.778797
1533.0000,0.778779
1534.0000,0.778761
1535.0000,0.778743
1536.0000,0.778725
1537.0000,0.778707
1538.0000,0.778688
1539.0000,0.778670
1540.0000,0.778651
1541.0000,0.778632
1542.0000,0.778614
1543.0000,0.778595
1544.0000,0.778575
1545.0000,0.778556
1546.0000,0.778537
1547.0000,0.778517
1548.0000,0.778498
1549.0000,0.778478
1550.0000,0.778458
1551.0000,0.778438
1552.0000,0.778418
1553.0000,0.778398
1554.0000,0.778378
1555.0000,0.778357
1556.0000,0.778337
1557.0000,0.778316
1558.0000,0.778295
1559.0000,0.778274
1560.0000,0.778253
1561.0000,0.778232
1562.0000,0.778211
1563.0000,0.778189
1564.0000,0.778168
1565.0000,0.778146
1566.0000,0.778124
1567.0000,0.778103
1568.0000,0.778081
1569.0000,0.778058
1570.0000,0.778036
1571.0000,0.778014
1572.0000,0.777991
1573.0000,0.777969
1574.0000,0.777946
1575.0000,0.777923
1576.0000,0.777901
1577.0000,0.777878
1578.0000,0.777854
1579.0000,0.777831
1580.0000,0.777808
1581.0000,0.777784
1582.0000,0.777761
