# swirl-format: 1
# swirl-version: 0.1.0.dev0
# quantity: reflectance
# [chlorite_noisy] meta: {"synthetic": true, "end_member": "chlorite", "label": "Chlorite (Fe-Mg intermediate: FeOH ~2253 nm, MgOH ~2340 nm)", "seed": [20260925, 0]}
# [chlorite_noisy] history: [{"name": "synthesize", "params": {"end_member": {"key": "chlorite", "label": "Chlorite (Fe-Mg intermediate: FeOH ~2253 nm, MgOH ~2340 nm)", "continuum": [[350.0, 0.18], [600.0, 0.32], [1000.0, 0.42], [1400.0, 0.48], [2000.0, 0.48], [2500.0, 0.42]], "features": [{"center": 1050.0, "fwhm": 350.0, "depth": 0.15, "assignment": "Fe2+ crystal field"}, {"center": 1395.0, "fwhm": 25.0, "depth": 0.08, "assignment": "OH"}, {"center": 1910.0, "fwhm": 50.0, "depth": 0.05, "assignment": "H2O"}, {"center": 2253.0, "fwhm": 30.0, "depth": 0.18, "assignment": "FeOH"}, {"center": 2340.0, "fwhm": 45.0, "depth": 0.3, "assignment": "MgOH"}]}}, "swirl_version": "0.1.0.dev0"}, {"name": "add_noise", "params": {"base": 0.0015, "low_boost": 4.0, "low_scale": 30.0, "high_boost": 3.0, "high_scale": 60.0}, "swirl_version": "0.1.0.dev0"}, {"name": "apply_splice_offsets", "params": {"vnir": -0.013630437536564483, "swir2": -0.009138775137603689}, "swirl_version": "0.1.0.dev0"}]
wavelength_nm,chlorite_noisy
579.0000,0.306431
580.0000,0.306996
581.0000,0.308870
582.0000,0.307877
583.0000,0.308809
584.0000,0.309834
585.0000,0.309350
586.0000,0.312234
587.0000,0.310410
588.0000,0.311371
589.0000,0.310336
590.0000,0.313681
591.0000,0.312960
592.0000,0.313827
593.0000,0.313919
594.0000,0.314189
595.0000,0.315224
596.0000,0.310782
597.0000,0.313093
598.0000,0.313907
599.0000,0.316762
600.0000,0.316034
601.0000,0.315003
602.0000,0.315170
603.0000,0.318293
604.0000,0.315170
605.0000,0.317927
606.0000,0.316878
607.0000,0.319329
608.0000,0.318293
609.0000,0.317102
610.0000,0.315978
611.0000,0.318657
612.0000,0.318689
613.0000,0.319675
614.0000,0.321635
615.0000,0.320481
616.0000,0.320292
617.0000,0.324821
618.0000,0.319999
619.0000,0.322718
620.0000,0.320723
621.0000,0.324532
622.0000,0.323918
623.0000,0.323938
624.0000,0.322303
625.0000,0.324397
626.0000,0.323657
627.0000,0.324253
628.0000,0.322517
629.0000,0.323768
630.0000,0.327133
631.0000,0.325292
632.0000,0.329514
633.0000,0.326182
634.0000,0.326098
635.0000,0.327064
636.0000,0.328527
637.0000,0.325619
638.0000,0.329331
639.0000,0.326908
640.0000,0.326743
641.0000,0.327535
642.0000,0.329401
643.0000,0.329073
644.0000,0.331104
645.0000,0.329664
646.0000,0.330465
647.0000,0.329348
648.0000,0.329228
649.0000,0.333059
650.0000,0.330816
651.0000,0.335269
652.0000,0.331534
653.0000,0.332446
654.0000,0.332958
655.0000,0.333692
656.0000,0.334627
657.0000,0.332020
658.0000,0.335522
659.0000,0.334706
660.0000,0.331807
661.0000,0.331402
662.0000,0.333198
663.0000,0.333965
664.0000,0.332305
665.0000,0.335700
666.0000,0.336320
667.0000,0.335841
668.0000,0.335806
669.0000,0.336287
670.0000,0.337134
671.0000,0.336992
672.0000,0.337842
673.0000,0.338564
674.0000,0.338001
675.0000,0.336675
676.0000,0.338590
677.0000,0.338423
678.0000,0.338125
679.0000,0.340192
680.0000,0.339624
681.0000,0.337702
682.0000,0.340826
683.0000,0.341544
684.0000,0.340030
685.0000,0.340603
686.0000,0.340900
687.0000,0.342092
688.0000,0.340292
689.0000,0.341921
690.0000,0.339790
691.0000,0.343314
692.0000,0.340850
693.0000,0.343505
694.0000,0.344132
695.0000,0.342037
696.0000,0.342403
697.0000,0.340900
698.0000,0.342265
699.0000,0.343682
700.0000,0.343047
701.0000,0.343196
702.0000,0.344363
703.0000,0.347214
704.0000,0.345090
705.0000,0.347432
706.0000,0.346355
707.0000,0.345043
708.0000,0.347862
709.0000,0.344500
710.0000,0.345020
711.0000,0.340477
712.0000,0.344836
713.0000,0.346489
714.0000,0.347360
715.0000,0.345893
716.0000,0.345290
717.0000,0.347998
718.0000,0.346973
719.0000,0.350940
720.0000,0.348768
721.0000,0.348958
722.0000,0.350349
723.0000,0.350774
724.0000,0.347954
725.0000,0.349131
726.0000,0.350710
727.0000,0.349118
728.0000,0.347505
729.0000,0.351877
730.0000,0.352600
731.0000,0.348476
732.0000,0.350755
733.0000,0.351714
734.0000,0.349108
735.0000,0.351978
736.0000,0.350034
737.0000,0.350996
738.0000,0.351609
739.0000,0.353339
740.0000,0.348295
741.0000,0.352815
742.0000,0.353125
743.0000,0.353056
744.0000,0.354078
745.0000,0.351921
746.0000,0.354403
747.0000,0.355081
748.0000,0.352896
749.0000,0.357036
750.0000,0.353572
751.0000,0.354544
752.0000,0.355284
753.0000,0.355310
754.0000,0.355003
755.0000,0.353022
756.0000,0.356820
757.0000,0.354536
758.0000,0.354338
759.0000,0.356172
760.0000,0.353842
761.0000,0.355058
762.0000,0.354730
763.0000,0.356895
764.0000,0.357156
765.0000,0.357066
766.0000,0.354587
767.0000,0.357026
768.0000,0.357463
769.0000,0.353182
770.0000,0.353887
771.0000,0.355356
772.0000,0.357970
773.0000,0.356816
774.0000,0.357042
775.0000,0.357749
776.0000,0.356830
777.0000,0.356946
778.0000,0.354138
779.0000,0.357543
780.0000,0.358317
781.0000,0.359229
782.0000,0.353808
783.0000,0.356317
784.0000,0.356351
785.0000,0.356926
786.0000,0.359612
787.0000,0.358792
788.0000,0.358402
789.0000,0.357477
790.0000,0.358367
791.0000,0.356261
792.0000,0.358712
793.0000,0.358802
794.0000,0.357986
795.0000,0.361049
796.0000,0.356539
797.0000,0.359869
798.0000,0.356588
799.0000,0.359152
800.0000,0.358339
801.0000,0.359075
802.0000,0.358727
803.0000,0.361838
804.0000,0.359957
805.0000,0.360707
806.0000,0.359212
807.0000,0.358347
808.0000,0.360416
809.0000,0.361518
810.0000,0.363003
811.0000,0.360078
812.0000,0.360838
813.0000,0.360267
814.0000,0.359518
815.0000,0.360075
816.0000,0.362168
817.0000,0.356729
818.0000,0.362184
819.0000,0.358354
820.0000,0.361437
821.0000,0.360153
822.0000,0.361299
823.0000,0.359650
824.0000,0.361070
825.0000,0.359945
826.0000,0.363687
827.0000,0.360567
828.0000,0.360954
829.0000,0.360028
830.0000,0.359826
831.0000,0.361631
832.0000,0.358936
833.0000,0.359514
834.0000,0.359131
835.0000,0.362501
836.0000,0.361292
837.0000,0.363105
838.0000,0.361030
839.0000,0.361851
840.0000,0.360933
841.0000,0.362559
842.0000,0.361050
843.0000,0.361645
844.0000,0.360345
845.0000,0.361583
846.0000,0.359652
847.0000,0.363869
848.0000,0.358880
849.0000,0.361495
850.0000,0.362293
851.0000,0.362089
852.0000,0.361618
853.0000,0.359399
854.0000,0.360454
855.0000,0.358928
856.0000,0.361471
857.0000,0.360043
858.0000,0.357403
859.0000,0.362072
860.0000,0.362485
861.0000,0.359355
862.0000,0.361124
863.0000,0.361179
864.0000,0.359295
865.0000,0.360588
866.0000,0.360025
867.0000,0.359781
868.0000,0.362080
869.0000,0.361111
870.0000,0.360347
871.0000,0.362113
872.0000,0.359100
873.0000,0.363416
874.0000,0.362905
875.0000,0.361510
876.0000,0.362051
877.0000,0.358725
878.0000,0.361802
879.0000,0.360100
880.0000,0.360848
881.0000,0.360352
882.0000,0.361791
883.0000,0.362306
884.0000,0.359503
885.0000,0.358507
886.0000,0.361422
887.0000,0.361509
888.0000,0.360415
889.0000,0.358172
890.0000,0.358715
891.0000,0.358375
892.0000,0.358565
893.0000,0.360414
894.0000,0.358296
895.0000,0.361577
896.0000,0.360229
897.0000,0.358313
898.0000,0.359427
899.0000,0.356531
900.0000,0.358848
901.0000,0.357462
902.0000,0.361221
903.0000,0.358792
904.0000,0.360020
905.0000,0.360637
906.0000,0.359357
907.0000,0.359108
908.0000,0.359391
909.0000,0.360318
910.0000,0.357654
911.0000,0.359348
912.0000,0.359889
913.0000,0.356511
914.0000,0.358683
915.0000,0.358911
916.0000,0.358046
917.0000,0.360858
918.0000,0.356433
919.0000,0.361547
920.0000,0.357735
921.0000,0.357828
922.0000,0.360429
923.0000,0.360622
924.0000,0.360724
925.0000,0.355263
926.0000,0.356791
927.0000,0.357734
928.0000,0.355983
929.0000,0.358145
930.0000,0.359434
931.0000,0.355771
932.0000,0.358997
933.0000,0.358505
934.0000,0.355739
935.0000,0.356317
936.0000,0.359031
937.0000,0.358891
938.0000,0.358435
939.0000,0.357407
940.0000,0.359280
941.0000,0.356320
942.0000,0.357038
943.0000,0.355857
944.0000,0.354443
945.0000,0.355735
946.0000,0.356024
947.0000,0.355227
948.0000,0.359497
949.0000,0.356774
950.0000,0.355775
951.0000,0.353943
952.0000,0.355953
953.0000,0.353326
954.0000,0.356122
955.0000,0.354739
956.0000,0.356378
957.0000,0.354736
958.0000,0.356405
959.0000,0.357968
960.0000,0.358030
961.0000,0.358414
962.0000,0.355909
963.0000,0.356115
964.0000,0.355781
965.0000,0.354537
966.0000,0.356126
967.0000,0.355615
968.0000,0.359236
969.0000,0.358018
970.0000,0.357510
971.0000,0.355728
972.0000,0.353165
973.0000,0.356786
974.0000,0.356273
975.0000,0.357829
976.0000,0.354589
977.0000,0.355741
978.0000,0.357326
979.0000,0.356566
980.0000,0.354741
981.0000,0.354993
982.0000,0.355718
983.0000,0.356115
984.0000,0.354327
985.0000,0.356022
986.0000,0.355059
987.0000,0.356332
988.0000,0.357945
989.0000,0.356307
990.0000,0.357176
991.0000,0.354858
992.0000,0.353706
993.0000,0.355980
994.0000,0.352647
995.0000,0.354055
996.0000,0.354817
997.0000,0.356300
998.0000,0.353004
999.0000,0.356291
1000.0000,0.354013
1001.0000,0.360105
1002.0000,0.364206
1003.0000,0.361315
1004.0000,0.363333
1005.0000,0.361102
1006.0000,0.361011
1007.0000,0.359396
1008.0000,0.357316
1009.0000,0.361929
1010.0000,0.361386
1011.0000,0.361416
1012.0000,0.361218
1013.0000,0.359943
1014.0000,0.361853
1015.0000,0.361368
1016.0000,0.360126
1017.0000,0.361049
1018.0000,0.359586
1019.0000,0.363076
1020.0000,0.362028
1021.0000,0.362191
1022.0000,0.361310
1023.0000,0.360579
1024.0000,0.361417
1025.0000,0.360570
1026.0000,0.364471
1027.0000,0.361583
1028.0000,0.362075
1029.0000,0.361572
1030.0000,0.363359
1031.0000,0.362838
1032.0000,0.363536
1033.0000,0.361935
1034.0000,0.362168
1035.0000,0.361604
1036.0000,0.364893
1037.0000,0.362928
1038.0000,0.366756
1039.0000,0.364878
1040.0000,0.363981
1041.0000,0.364157
1042.0000,0.362439
1043.0000,0.366818
1044.0000,0.362465
1045.0000,0.367361
1046.0000,0.364354
1047.0000,0.364786
1048.0000,0.365253
1049.0000,0.364323
1050.0000,0.365529
1051.0000,0.364383
1052.0000,0.365850
1053.0000,0.365050
1054.0000,0.364432
1055.0000,0.367295
1056.0000,0.365065
1057.0000,0.367327
1058.0000,0.369181
1059.0000,0.368017
1060.0000,0.368731
1061.0000,0.366965
1062.0000,0.366335
1063.0000,0.367370
1064.0000,0.366957
1065.0000,0.369521
1066.0000,0.367170
1067.0000,0.366511
1068.0000,0.371552
1069.0000,0.368036
1070.0000,0.370852
1071.0000,0.371574
1072.0000,0.371752
1073.0000,0.369656
1074.0000,0.368965
1075.0000,0.370010
1076.0000,0.369223
1077.0000,0.370692
1078.0000,0.371789
1079.0000,0.371396
1080.0000,0.372495
1081.0000,0.374165
1082.0000,0.371963
1083.0000,0.372451
1084.0000,0.373552
1085.0000,0.371843
1086.0000,0.370812
1087.0000,0.374775
1088.0000,0.374630
1089.0000,0.375975
1090.0000,0.376516
1091.0000,0.375419
1092.0000,0.378535
1093.0000,0.373819
1094.0000,0.375696
1095.0000,0.375213
1096.0000,0.374381
1097.0000,0.376235
1098.0000,0.378786
1099.0000,0.377977
1100.0000,0.375278
1101.0000,0.376852
1102.0000,0.379316
1103.0000,0.376730
1104.0000,0.379889
1105.0000,0.378807
1106.0000,0.378736
1107.0000,0.380756
1108.0000,0.379768
1109.0000,0.381944
1110.0000,0.382450
1111.0000,0.381931
1112.0000,0.380888
1113.0000,0.382610
1114.0000,0.380347
1115.0000,0.383955
1116.0000,0.381545
1117.0000,0.381194
1118.0000,0.384042
1119.0000,0.386829
1120.0000,0.385487
1121.0000,0.385021
1122.0000,0.385667
1123.0000,0.384704
1124.0000,0.383571
1125.0000,0.386447
1126.0000,0.385260
1127.0000,0.389131
1128.0000,0.388038
1129.0000,0.390238
1130.0000,0.388126
1131.0000,0.387458
1132.0000,0.388201
1133.0000,0.390426
1134.0000,0.389166
1135.0000,0.389370
1136.0000,0.391026
1137.0000,0.391022
1138.0000,0.391623
1139.0000,0.391334
1140.0000,0.393855
1141.0000,0.391206
1142.0000,0.393606
1143.0000,0.390551
1144.0000,0.395233
1145.0000,0.392990
1146.0000,0.394351
1147.0000,0.396183
1148.0000,0.395015
1149.0000,0.393466
1150.0000,0.396059
1151.0000,0.401507
1152.0000,0.395831
1153.0000,0.397354
1154.0000,0.396935
1155.0000,0.397215
1156.0000,0.398129
1157.0000,0.399035
1158.0000,0.396638
1159.0000,0.402257
1160.0000,0.400518
1161.0000,0.401419
1162.0000,0.398013
1163.0000,0.399882
1164.0000,0.403695
1165.0000,0.403515
1166.0000,0.405784
1167.0000,0.401562
1168.0000,0.405280
1169.0000,0.402690
1170.0000,0.405675
1171.0000,0.403475
1172.0000,0.405515
1173.0000,0.407901
1174.0000,0.405860
1175.0000,0.404816
1176.0000,0.408795
1177.0000,0.409203
1178.0000,0.410281
1179.0000,0.409098
1180.0000,0.409370
1181.0000,0.412543
1182.0000,0.410402
1183.0000,0.411822
1184.0000,0.410277
1185.0000,0.409843
1186.0000,0.410694
1187.0000,0.411751
1188.0000,0.412042
1189.0000,0.411567
1190.0000,0.414454
1191.0000,0.416974
1192.0000,0.411591
1193.0000,0.414540
1194.0000,0.416175
1195.0000,0.417807
1196.0000,0.414761
1197.0000,0.415270
1198.0000,0.418664
1199.0000,0.416502
1200.0000,0.416246
1201.0000,0.418898
1202.0000,0.415398
1203.0000,0.420049
1204.0000,0.415866
1205.0000,0.422967
1206.0000,0.418255
1207.0000,0.423676
1208.0000,0.421511
1209.0000,0.422426
1210.0000,0.424374
1211.0000,0.424294
1212.0000,0.423974
1213.0000,0.423271
1214.0000,0.424588
1215.0000,0.421774
1216.0000,0.426717
1217.0000,0.424321
1218.0000,0.430125
1219.0000,0.424282
1220.0000,0.425163
1221.0000,0.428781
1222.0000,0.430541
1223.0000,0.428419
1224.0000,0.429714
1225.0000,0.427985
1226.0000,0.431642
1227.0000,0.428159
1228.0000,0.430929
1229.0000,0.427951
1230.0000,0.429236
1231.0000,0.431769
1232.0000,0.429900
1233.0000,0.433315
1234.0000,0.431370
1235.0000,0.432365
1236.0000,0.437221
1237.0000,0.435759
1238.0000,0.433343
1239.0000,0.435980
1240.0000,0.436804
1241.0000,0.432734
1242.0000,0.434865
1243.0000,0.437076
1244.0000,0.434899
1245.0000,0.437657
1246.0000,0.436103
1247.0000,0.436228
1248.0000,0.439276
1249.0000,0.438815
1250.0000,0.436592
1251.0000,0.437528
1252.0000,0.440569
1253.0000,0.439451
1254.0000,0.438546
1255.0000,0.441100
1256.0000,0.439865
1257.0000,0.441697
1258.0000,0.441155
1259.0000,0.444917
1260.0000,0.444290
1261.0000,0.445713
1262.0000,0.442300
1263.0000,0.444594
1264.0000,0.446376
1265.0000,0.444419
1266.0000,0.446025
1267.0000,0.445257
1268.0000,0.445001
1269.0000,0.446738
1270.0000,0.447769
1271.0000,0.446643
1272.0000,0.448204
1273.0000,0.448193
1274.0000,0.447198
1275.0000,0.446185
1276.0000,0.449891
1277.0000,0.450465
1278.0000,0.447748
1279.0000,0.449377
1280.0000,0.450627
1281.0000,0.450584
1282.0000,0.451317
1283.0000,0.454863
1284.0000,0.450955
1285.0000,0.452561
1286.0000,0.452252
1287.0000,0.453378
1288.0000,0.454543
1289.0000,0.454001
1290.0000,0.455174
1291.0000,0.455285
1292.0000,0.455333
1293.0000,0.452576
1294.0000,0.453959
1295.0000,0.455465
1296.0000,0.452578
1297.0000,0.455121
1298.0000,0.456037
1299.0000,0.456055
1300.0000,0.458497
1301.0000,0.457985
1302.0000,0.458075
1303.0000,0.456356
1304.0000,0.458559
1305.0000,0.456584
1306.0000,0.462017
1307.0000,0.459415
1308.0000,0.459384
1309.0000,0.459935
1310.0000,0.459360
1311.0000,0.463378
1312.0000,0.460614
1313.0000,0.459225
1314.0000,0.460309
1315.0000,0.459646
1316.0000,0.463967
1317.0000,0.460312
1318.0000,0.461704
1319.0000,0.462700
1320.0000,0.463925
1321.0000,0.465174
1322.0000,0.464385
1323.0000,0.464647
1324.0000,0.464047
1325.0000,0.463056
1326.0000,0.462356
1327.0000,0.463694
1328.0000,0.464422
1329.0000,0.463305
1330.0000,0.465116
1331.0000,0.466110
1332.0000,0.464409
1333.0000,0.466538
1334.0000,0.467512
1335.0000,0.467373
1336.0000,0.464867
1337.0000,0.468299
1338.0000,0.467107
1339.0000,0.468636
1340.0000,0.466606
1341.0000,0.469601
1342.0000,0.466995
1343.0000,0.467338
1344.0000,0.466176
1345.0000,0.469711
1346.0000,0.467614
1347.0000,0.468355
1348.0000,0.470208
1349.0000,0.467114
1350.0000,0.471960
1351.0000,0.468985
1352.0000,0.469572
1353.0000,0.468978
1354.0000,0.467842
1355.0000,0.470129
1356.0000,0.471653
1357.0000,0.466120
1358.0000,0.470992
1359.0000,0.470566
1360.0000,0.473063
1361.0000,0.470197
1362.0000,0.471169
1363.0000,0.470036
1364.0000,0.468375
1365.0000,0.469641
1366.0000,0.472411
1367.0000,0.469105
1368.0000,0.471871
1369.0000,0.469131
1370.0000,0.470569
1371.0000,0.470483
1372.0000,0.467243
1373.0000,0.469578
1374.0000,0.468091
1375.0000,0.464911
1376.0000,0.465805
1377.0000,0.466704
1378.0000,0.461735
1379.0000,0.459839
1380.0000,0.459968
1381.0000,0.457919
1382.0000,0.455415
1383.0000,0.452728
1384.0000,0.453487
1385.0000,0.448350
1386.0000,0.447455
1387.0000,0.443361
1388.0000,0.445553
1389.0000,0.443370
1390.0000,0.439812
1391.0000,0.442683
1392.0000,0.441323
1393.0000,0.438519
1394.0000,0.437593
1395.0000,0.434764
1396.0000,0.438033
1397.0000,0.436157
1398.0000,0.437098
1399.0000,0.441037
1400.0000,0.442872
1401.0000,0.443328
1402.0000,0.445013
1403.0000,0.448735
1404.0000,0.450243
1405.0000,0.451575
1406.0000,0.456046
1407.0000,0.454575
1408.0000,0.456262
1409.0000,0.461055
1410.0000,0.462412
1411.0000,0.462710
1412.0000,0.464522
1413.0000,0.465661
1414.0000,0.469695
1415.0000,0.470978
1416.0000,0.469710
1417.0000,0.471980
1418.0000,0.471752
1419.0000,0.474785
1420.0000,0.475251
1421.0000,0.473922
1422.0000,0.476174
1423.0000,0.477172
1424.0000,0.479713
1425.0000,0.478053
1426.0000,0.476652
1427.0000,0.473906
1428.0000,0.477482
1429.0000,0.477323
1430.0000,0.477510
1431.0000,0.477892
1432.0000,0.476610
1433.0000,0.475607
1434.0000,0.475864
1435.0000,0.478034
1436.0000,0.477079
1437.0000,0.475588
1438.0000,0.476276
1439.0000,0.477763
1440.0000,0.478008
1441.0000,0.477413
1442.0000,0.479741
1443.0000,0.478359
1444.0000,0.477427
1445.0000,0.477901
1446.0000,0.477274
1447.0000,0.479052
1448.0000,0.479433
1449.0000,0.477500
1450.0000,0.478762
1451.0000,0.479048
1452.0000,0.478362
1453.0000,0.474021
1454.0000,0.478039
1455.0000,0.479128
1456.0000,0.476627
1457.0000,0.477239
1458.0000,0.477244
1459.0000,0.478048
1460.0000,0.477485
1461.0000,0.479223
1462.0000,0.477032
1463.0000,0.477316
1464.0000,0.478426
1465.0000,0.478621
1466.0000,0.480849
1467.0000,0.478926
1468.0000,0.478833
1469.0000,0.478421
1470.0000,0.478243
1471.0000,0.479098
1472.0000,0.480635
1473.0000,0.478917
1474.0000,0.480037
1475.0000,0.479252
1476.0000,0.478315
1477.0000,0.476270
1478.0000,0.476482
1479.0000,0.479907
1480.0000,0.477519
1481.0000,0.482717
1482.0000,0.477793
1483.0000,0.480337
1484.0000,0.481598
1485.0000,0.479157
1486.0000,0.477513
1487.0000,0.477647
1488.0000,0.477485
1489.0000,0.476267
1490.0000,0.481852
1491.0000,0.479634
1492.0000,0.480533
1493.0000,0.480141
1494.0000,0.477867
1495.0000,0.478512
1496.0000,0.481074
1497.0000,0.477103
1498.0000,0.479139
1499.0000,0.481968
1500.0000,0.477319
1501.0000,0.478707
1502.0000,0.480061
1503.0000,0.480062
1504.0000,0.479191
1505.0000,0.479923
1506.0000,0.480077
1507.0000,0.479910
1508.0000,0.476912
1509.0000,0.478270
1510.0000,0.482448
1511.0000,0.478403
1512.0000,0.481365
1513.0000,0.478047
1514.0000,0.480022
1515.0000,0.477269
1516.0000,0.480064
1517.0000,0.476161
1518.0000,0.479038
1519.0000,0.479051
1520.0000,0.477760
1521.0000,0.479167
1522.0000,0.480014
1523.0000,0.478341
1524.0000,0.477788
1525.0000,0.478461
1526.0000,0.481497
1527.0000,0.479668
1528.0000,0.484589
1529.0000,0.478575
1530.0000,0.477850
1531.0000,0.479824
1532.0000,0.480500
1533.0000,0.478778
1534.0000,0.479767
1535.0000,0.479151
1536.0000,0.477135
1537.0000,0.479791
1538.0000,0.481644
1539.0000,0.482966
1540.0000,0.478241
1541.0000,0.478506
1542.0000,0.481906
1543.0000,0.479609
1544.0000,0.479943
1545.0000,0.479840
1546.0000,0.475897
1547.0000,0.479359
1548.0000,0.483306
1549.0000,0.480093
1550.0000,0.479130
