# swirl-format: 1
# swirl-version: 0.1.0.dev0
# quantity: reflectance
# [illite_noisy] meta: {"synthetic": true, "end_member": "illite", "label": "Illite (AlOH ~2205 nm, stronger H2O than white mica)", "seed": [20260925, 2]}
# [illite_noisy] history: [{"name": "synthesize", "params": {"end_member": {"key": "illite", "label": "Illite (AlOH ~2205 nm, stronger H2O than white mica)", "continuum": [[350.0, 0.4], [600.0, 0.56], [1000.0, 0.66], [1400.0, 0.7], [2000.0, 0.67], [2500.0, 0.58]], "features": [{"center": 1410.0, "fwhm": 30.0, "depth": 0.13, "assignment": "OH"}, {"center": 1910.0, "fwhm": 50.0, "depth": 0.2, "assignment": "H2O"}, {"center": 2205.0, "fwhm": 42.0, "depth": 0.28, "assignment": "AlOH"}, {"center": 2350.0, "fwhm": 30.0, "depth": 0.08, "assignment": "AlOH secondary"}, {"center": 2440.0, "fwhm": 30.0, "depth": 0.05, "assignment": "AlOH secondary"}]}}, "swirl_version": "0.1.0.dev0"}, {"name": "add_noise", "params": {"base": 0.0015, "low_boost": 4.0, "low_scale": 30.0, "high_boost": 3.0, "high_scale": 60.0}, "swirl_version": "0.1.0.dev0"}, {"name": "apply_splice_offsets", "params": {"vnir": -0.018991598047361485, "swir2": -0.012250564256800569}, "swirl_version": "0.1.0.dev0"}]
wavelength_nm,illite_noisy
441.0000,0.458509
442.0000,0.458155
443.0000,0.461247
444.0000,0.461561
445.0000,0.466420
446.0000,0.463473
447.0000,0.465448
448.0000,0.465614
449.0000,0.464634
450.0000,0.466303
451.0000,0.465886
452.0000,0.466779
453.0000,0.468252
454.0000,0.469073
455.0000,0.469910
456.0000,0.472997
457.0000,0.473803
458.0000,0.472357
459.0000,0.472727
460.0000,0.474505
461.0000,0.474626
462.0000,0.473506
463.0000,0.476064
464.0000,0.478715
465.0000,0.479091
466.0000,0.477835
467.0000,0.475397
468.0000,0.479416
469.0000,0.478081
470.0000,0.475203
471.0000,0.481033
472.0000,0.481050
473.0000,0.484016
474.0000,0.483327
475.0000,0.483777
476.0000,0.483646
477.0000,0.485530
478.0000,0.486066
479.0000,0.484720
480.0000,0.488753
481.0000,0.486215
482.0000,0.488441
483.0000,0.490851
484.0000,0.488876
485.0000,0.489023
486.0000,0.491892
487.0000,0.490099
488.0000,0.492288
489.0000,0.492939
490.0000,0.495801
491.0000,0.491217
492.0000,0.495343
493.0000,0.495922
494.0000,0.496508
495.0000,0.496118
496.0000,0.496948
497.0000,0.498128
498.0000,0.499194
499.0000,0.498924
500.0000,0.500452
501.0000,0.499994
502.0000,0.501768
503.0000,0.502987
504.0000,0.504144
505.0000,0.501128
506.0000,0.500938
507.0000,0.502467
508.0000,0.505795
509.0000,0.502720
510.0000,0.504726
511.0000,0.505391
512.0000,0.502576
513.0000,0.505085
514.0000,0.509570
515.0000,0.507055
516.0000,0.508659
517.0000,0.512656
518.0000,0.508283
519.0000,0.512634
520.0000,0.512441
521.0000,0.512111
522.0000,0.511327
523.0000,0.513373
524.0000,0.511267
525.0000,0.513840
526.0000,0.514604
527.0000,0.518809
528.0000,0.514293
529.0000,0.514835
530.0000,0.517394
531.0000,0.517754
532.0000,0.515462
533.0000,0.518330
534.0000,0.516607
535.0000,0.521528
536.0000,0.522746
537.0000,0.522026
538.0000,0.519336
539.0000,0.519711
540.0000,0.521819
541.0000,0.522856
542.0000,0.523192
543.0000,0.521012
544.0000,0.524342
545.0000,0.523187
546.0000,0.525430
547.0000,0.526045
548.0000,0.526473
549.0000,0.529245
550.0000,0.527514
551.0000,0.530178
552.0000,0.528494
553.0000,0.530203
554.0000,0.529192
555.0000,0.529078
556.0000,0.530679
557.0000,0.531203
558.0000,0.529730
559.0000,0.533885
560.0000,0.530012
561.0000,0.531927
562.0000,0.531800
563.0000,0.533658
564.0000,0.533280
565.0000,0.534891
566.0000,0.534676
567.0000,0.535765
568.0000,0.535537
569.0000,0.537688
570.0000,0.535927
571.0000,0.536357
572.0000,0.539921
573.0000,0.542067
574.0000,0.540830
575.0000,0.538904
576.0000,0.538055
577.0000,0.537453
578.0000,0.540967
579.0000,0.541706
580.0000,0.540867
581.0000,0.543726
582.0000,0.543262
583.0000,0.542367
584.0000,0.541538
585.0000,0.544413
586.0000,0.544062
587.0000,0.547122
588.0000,0.542541
589.0000,0.546647
590.0000,0.546001
591.0000,0.544866
592.0000,0.546803
593.0000,0.547563
594.0000,0.547293
595.0000,0.549052
596.0000,0.547879
597.0000,0.548390
598.0000,0.547929
599.0000,0.548949
600.0000,0.549531
601.0000,0.550146
602.0000,0.550584
603.0000,0.548601
604.0000,0.551268
605.0000,0.552219
606.0000,0.548675
607.0000,0.553764
608.0000,0.552287
609.0000,0.551299
610.0000,0.553494
611.0000,0.551963
612.0000,0.551401
613.0000,0.556981
614.0000,0.554382
615.0000,0.557594
616.0000,0.556257
617.0000,0.555681
618.0000,0.556066
619.0000,0.556985
620.0000,0.553968
621.0000,0.557050
622.0000,0.555862
623.0000,0.556268
624.0000,0.557435
625.0000,0.559922
626.0000,0.557316
627.0000,0.559067
628.0000,0.556542
629.0000,0.559200
630.0000,0.559581
631.0000,0.560948
632.0000,0.560563
633.0000,0.559810
634.0000,0.562297
635.0000,0.562379
636.0000,0.563111
637.0000,0.565483
638.0000,0.562488
639.0000,0.566324
640.0000,0.561296
641.0000,0.562186
642.0000,0.563311
643.0000,0.563898
644.0000,0.565069
645.0000,0.566338
646.0000,0.564335
647.0000,0.568471
648.0000,0.563682
649.0000,0.565466
650.0000,0.565413
651.0000,0.566688
652.0000,0.567969
653.0000,0.570784
654.0000,0.567763
655.0000,0.569575
656.0000,0.568159
657.0000,0.572019
658.0000,0.568419
659.0000,0.567383
660.0000,0.569686
661.0000,0.569103
662.0000,0.573229
663.0000,0.571802
664.0000,0.572134
665.0000,0.570586
666.0000,0.570722
667.0000,0.571514
668.0000,0.572872
669.0000,0.572620
670.0000,0.573847
671.0000,0.576413
672.0000,0.572413
673.0000,0.573218
674.0000,0.574369
675.0000,0.574524
676.0000,0.572710
677.0000,0.574939
678.0000,0.576932
679.0000,0.577192
680.0000,0.574185
681.0000,0.576077
682.0000,0.580113
683.0000,0.580217
684.0000,0.578173
685.0000,0.579172
686.0000,0.577374
687.0000,0.580585
688.0000,0.577165
689.0000,0.578355
690.0000,0.579859
691.0000,0.580788
692.0000,0.580156
693.0000,0.579283
694.0000,0.581897
695.0000,0.580212
696.0000,0.579273
697.0000,0.581487
698.0000,0.581902
699.0000,0.583122
700.0000,0.585282
701.0000,0.583781
702.0000,0.581018
703.0000,0.583081
704.0000,0.583746
705.0000,0.582821
706.0000,0.582464
707.0000,0.586857
708.0000,0.586042
709.0000,0.585880
710.0000,0.586154
711.0000,0.586433
712.0000,0.586033
713.0000,0.584943
714.0000,0.588760
715.0000,0.588448
716.0000,0.587398
717.0000,0.587723
718.0000,0.587042
719.0000,0.588778
720.0000,0.587786
721.0000,0.588663
722.0000,0.591289
723.0000,0.588804
724.0000,0.590466
725.0000,0.589730
726.0000,0.588167
727.0000,0.591798
728.0000,0.589702
729.0000,0.590427
730.0000,0.588521
731.0000,0.591642
732.0000,0.592190
733.0000,0.590704
734.0000,0.591759
735.0000,0.592219
736.0000,0.592886
737.0000,0.593367
738.0000,0.594036
739.0000,0.595514
740.0000,0.593955
741.0000,0.594716
742.0000,0.596467
743.0000,0.595202
744.0000,0.595377
745.0000,0.593924
746.0000,0.595178
747.0000,0.598183
748.0000,0.597377
749.0000,0.594307
750.0000,0.595878
751.0000,0.596054
752.0000,0.596224
753.0000,0.598583
754.0000,0.597084
755.0000,0.598921
756.0000,0.596840
757.0000,0.599043
758.0000,0.598090
759.0000,0.599733
760.0000,0.597020
761.0000,0.602415
762.0000,0.600307
763.0000,0.599882
764.0000,0.603517
765.0000,0.599739
766.0000,0.601061
767.0000,0.602101
768.0000,0.601372
769.0000,0.602128
770.0000,0.602311
771.0000,0.603992
772.0000,0.604597
773.0000,0.603523
774.0000,0.604356
775.0000,0.603909
776.0000,0.604629
777.0000,0.604218
778.0000,0.604455
779.0000,0.602886
780.0000,0.604348
781.0000,0.605097
782.0000,0.607701
783.0000,0.604516
784.0000,0.601296
785.0000,0.606295
786.0000,0.607108
787.0000,0.607008
788.0000,0.606729
789.0000,0.606943
790.0000,0.607579
791.0000,0.610317
792.0000,0.606460
793.0000,0.606995
794.0000,0.610028
795.0000,0.609672
796.0000,0.608831
797.0000,0.608920
798.0000,0.609424
799.0000,0.610231
800.0000,0.609471
801.0000,0.607671
802.0000,0.609665
803.0000,0.612386
804.0000,0.611049
805.0000,0.611578
806.0000,0.611480
807.0000,0.611164
808.0000,0.612898
809.0000,0.609441
810.0000,0.612824
811.0000,0.612165
812.0000,0.612223
813.0000,0.612195
814.0000,0.612129
815.0000,0.615401
816.0000,0.613356
817.0000,0.612227
818.0000,0.615424
819.0000,0.615258
820.0000,0.614006
821.0000,0.615112
822.0000,0.615309
823.0000,0.614599
824.0000,0.614473
825.0000,0.617072
826.0000,0.616238
827.0000,0.616737
828.0000,0.616192
829.0000,0.615211
830.0000,0.614172
831.0000,0.617936
832.0000,0.617555
833.0000,0.617475
834.0000,0.618230
835.0000,0.616237
836.0000,0.619589
837.0000,0.616682
838.0000,0.619074
839.0000,0.621542
840.0000,0.620368
841.0000,0.620019
842.0000,0.622151
843.0000,0.619513
844.0000,0.621708
845.0000,0.619295
846.0000,0.620561
847.0000,0.620424
848.0000,0.619513
849.0000,0.621127
850.0000,0.621769
851.0000,0.620758
852.0000,0.621637
853.0000,0.621228
854.0000,0.620155
855.0000,0.620567
856.0000,0.622493
857.0000,0.622735
858.0000,0.624216
859.0000,0.622526
860.0000,0.622902
861.0000,0.625608
862.0000,0.624787
863.0000,0.627421
864.0000,0.625472
865.0000,0.624895
866.0000,0.621148
867.0000,0.624195
868.0000,0.625592
869.0000,0.626330
870.0000,0.626126
871.0000,0.626443
872.0000,0.625965
873.0000,0.623958
874.0000,0.626833
875.0000,0.624174
876.0000,0.627771
877.0000,0.627973
878.0000,0.625360
879.0000,0.626660
880.0000,0.626504
881.0000,0.628516
882.0000,0.626485
883.0000,0.626563
884.0000,0.629337
885.0000,0.628337
886.0000,0.631165
887.0000,0.630026
888.0000,0.631153
889.0000,0.627179
890.0000,0.626219
891.0000,0.628491
892.0000,0.628495
893.0000,0.633045
894.0000,0.630324
895.0000,0.629636
896.0000,0.628421
897.0000,0.629977
898.0000,0.633741
899.0000,0.632055
900.0000,0.630753
901.0000,0.633109
902.0000,0.632717
903.0000,0.633134
904.0000,0.631138
905.0000,0.629899
906.0000,0.632850
907.0000,0.631257
908.0000,0.631663
909.0000,0.634456
910.0000,0.634032
911.0000,0.633551
912.0000,0.633551
913.0000,0.635762
914.0000,0.634245
915.0000,0.632277
916.0000,0.633394
917.0000,0.636113
918.0000,0.632842
919.0000,0.633331
920.0000,0.634750
921.0000,0.636044
922.0000,0.634541
923.0000,0.634727
924.0000,0.633805
925.0000,0.636342
926.0000,0.636907
927.0000,0.636637
928.0000,0.636180
929.0000,0.635673
930.0000,0.636298
931.0000,0.635018
932.0000,0.638488
933.0000,0.633225
934.0000,0.637643
935.0000,0.638257
936.0000,0.638905
937.0000,0.639274
938.0000,0.636534
939.0000,0.638261
940.0000,0.639275
941.0000,0.638301
942.0000,0.639083
943.0000,0.637273
944.0000,0.640301
945.0000,0.637149
946.0000,0.637008
947.0000,0.640579
948.0000,0.638750
949.0000,0.638097
950.0000,0.640847
951.0000,0.639532
952.0000,0.638801
953.0000,0.640792
954.0000,0.641850
955.0000,0.639276
956.0000,0.640452
957.0000,0.638672
958.0000,0.639732
959.0000,0.639376
960.0000,0.640624
961.0000,0.640158
962.0000,0.642673
963.0000,0.641620
964.0000,0.640877
965.0000,0.642467
966.0000,0.643570
967.0000,0.644096
968.0000,0.645612
969.0000,0.641027
970.0000,0.643952
971.0000,0.640890
972.0000,0.642560
973.0000,0.644997
974.0000,0.643479
975.0000,0.643616
976.0000,0.641783
977.0000,0.642789
978.0000,0.644692
979.0000,0.643941
980.0000,0.644221
981.0000,0.643795
982.0000,0.645684
983.0000,0.644338
984.0000,0.642789
985.0000,0.646582
986.0000,0.642637
987.0000,0.642551
988.0000,0.645165
989.0000,0.645353
990.0000,0.644750
991.0000,0.647808
992.0000,0.644293
993.0000,0.647201
994.0000,0.647807
995.0000,0.648899
996.0000,0.646398
997.0000,0.644915
998.0000,0.648124
999.0000,0.647280
1000.0000,0.645813
1001.0000,0.661083
1002.0000,0.660729
1003.0000,0.661587
1004.0000,0.658513
1005.0000,0.658396
1006.0000,0.661768
1007.0000,0.662727
1008.0000,0.662786
1009.0000,0.661033
1010.0000,0.663563
1011.0000,0.660987
1012.0000,0.658675
1013.0000,0.660726
1014.0000,0.661746
1015.0000,0.661060
1016.0000,0.660995
1017.0000,0.659522
1018.0000,0.663682
1019.0000,0.664453
1020.0000,0.664323
1021.0000,0.659737
1022.0000,0.661346
1023.0000,0.661897
1024.0000,0.663028
1025.0000,0.664835
1026.0000,0.665001
1027.0000,0.664370
1028.0000,0.664990
1029.0000,0.664359
1030.0000,0.667043
1031.0000,0.664644
1032.0000,0.662601
1033.0000,0.667209
1034.0000,0.662712
1035.0000,0.667778
1036.0000,0.663995
1037.0000,0.664153
1038.0000,0.664989
1039.0000,0.666343
1040.0000,0.665123
1041.0000,0.666798
1042.0000,0.667167
1043.0000,0.666926
1044.0000,0.664977
1045.0000,0.667320
1046.0000,0.668204
1047.0000,0.668901
1048.0000,0.665804
1049.0000,0.666480
1050.0000,0.669305
1051.0000,0.669192
1052.0000,0.669609
1053.0000,0.665015
1054.0000,0.664546
1055.0000,0.665970
1056.0000,0.668814
1057.0000,0.668601
1058.0000,0.668979
1059.0000,0.669484
1060.0000,0.665921
1061.0000,0.670694
1062.0000,0.667895
1063.0000,0.668243
1064.0000,0.670604
1065.0000,0.669641
1066.0000,0.670433
1067.0000,0.672070
1068.0000,0.667795
1069.0000,0.667870
1070.0000,0.669316
1071.0000,0.671949
1072.0000,0.666304
1073.0000,0.669513
1074.0000,0.670119
1075.0000,0.671493
1076.0000,0.669874
1077.0000,0.670611
1078.0000,0.669339
1079.0000,0.671374
1080.0000,0.670821
1081.0000,0.672336
1082.0000,0.675252
1083.0000,0.671637
1084.0000,0.670618
1085.0000,0.671989
1086.0000,0.671421
1087.0000,0.673373
1088.0000,0.672619
1089.0000,0.671641
1090.0000,0.672568
1091.0000,0.673399
1092.0000,0.673260
1093.0000,0.672251
1094.0000,0.673148
1095.0000,0.671997
1096.0000,0.671316
1097.0000,0.675211
1098.0000,0.674664
1099.0000,0.674120
1100.0000,0.674106
1101.0000,0.675425
1102.0000,0.674498
1103.0000,0.674082
1104.0000,0.671592
1105.0000,0.677047
1106.0000,0.676039
1107.0000,0.677283
1108.0000,0.676919
1109.0000,0.676880
1110.0000,0.676730
1111.0000,0.678521
1112.0000,0.675856
1113.0000,0.676903
1114.0000,0.676581
1115.0000,0.676225
1116.0000,0.676083
1117.0000,0.676611
1118.0000,0.675394
1119.0000,0.678371
1120.0000,0.677169
1121.0000,0.677648
1122.0000,0.676204
1123.0000,0.680000
1124.0000,0.676742
1125.0000,0.678147
1126.0000,0.678003
1127.0000,0.677918
1128.0000,0.679497
1129.0000,0.677538
1130.0000,0.679676
1131.0000,0.674470
1132.0000,0.676587
1133.0000,0.677822
1134.0000,0.678131
1135.0000,0.677039
1136.0000,0.680424
1137.0000,0.677959
1138.0000,0.679574
1139.0000,0.678705
1140.0000,0.678655
1141.0000,0.678993
1142.0000,0.677503
1143.0000,0.679782
1144.0000,0.680430
1145.0000,0.681313
1146.0000,0.678991
1147.0000,0.679108
1148.0000,0.682028
1149.0000,0.681325
1150.0000,0.679753
1151.0000,0.683774
1152.0000,0.682246
1153.0000,0.678389
1154.0000,0.680449
1155.0000,0.686243
1156.0000,0.681323
1157.0000,0.682565
1158.0000,0.680331
1159.0000,0.682212
1160.0000,0.681931
1161.0000,0.682797
1162.0000,0.684193
1163.0000,0.683989
1164.0000,0.682369
1165.0000,0.682280
1166.0000,0.681736
1167.0000,0.682689
1168.0000,0.683041
1169.0000,0.684359
1170.0000,0.686349
1171.0000,0.683466
1172.0000,0.682740
1173.0000,0.684375
1174.0000,0.682302
1175.0000,0.685553
1176.0000,0.685155
1177.0000,0.683016
1178.0000,0.685495
1179.0000,0.682985
1180.0000,0.683735
1181.0000,0.683434
1182.0000,0.684469
1183.0000,0.685654
1184.0000,0.685165
1185.0000,0.687398
1186.0000,0.682768
1187.0000,0.686066
1188.0000,0.687939
1189.0000,0.684954
1190.0000,0.686859
1191.0000,0.686439
1192.0000,0.685735
1193.0000,0.686323
1194.0000,0.685948
1195.0000,0.685503
1196.0000,0.686968
1197.0000,0.686822
1198.0000,0.685905
1199.0000,0.684215
1200.0000,0.688244
1201.0000,0.688123
1202.0000,0.687515
1203.0000,0.684930
1204.0000,0.688281
1205.0000,0.688679
1206.0000,0.685290
1207.0000,0.690043
1208.0000,0.691462
1209.0000,0.687854
1210.0000,0.691326
1211.0000,0.688469
1212.0000,0.688657
1213.0000,0.691779
1214.0000,0.689246
1215.0000,0.686698
1216.0000,0.685482
1217.0000,0.689375
1218.0000,0.691932
1219.0000,0.687772
1220.0000,0.685204
1221.0000,0.689821
1222.0000,0.688810
1223.0000,0.688420
1224.0000,0.686767
1225.0000,0.689625
1226.0000,0.690541
1227.0000,0.689692
1228.0000,0.691587
1229.0000,0.689967
1230.0000,0.692438
1231.0000,0.687609
1232.0000,0.691587
1233.0000,0.689953
1234.0000,0.687504
1235.0000,0.690845
1236.0000,0.692069
1237.0000,0.690178
1238.0000,0.692511
1239.0000,0.693917
1240.0000,0.693201
1241.0000,0.690964
1242.0000,0.693812
1243.0000,0.692422
1244.0000,0.692237
1245.0000,0.695726
1246.0000,0.691086
1247.0000,0.690808
1248.0000,0.696270
1249.0000,0.693077
1250.0000,0.692623
1251.0000,0.693513
1252.0000,0.692031
1253.0000,0.691159
1254.0000,0.695762
1255.0000,0.693917
1256.0000,0.691624
1257.0000,0.692121
1258.0000,0.693182
1259.0000,0.691422
1260.0000,0.694284
1261.0000,0.692529
1262.0000,0.693891
1263.0000,0.692221
1264.0000,0.692018
1265.0000,0.694746
1266.0000,0.692051
1267.0000,0.692955
1268.0000,0.693133
1269.0000,0.694095
1270.0000,0.692956
1271.0000,0.690901
1272.0000,0.695059
1273.0000,0.696815
1274.0000,0.696152
1275.0000,0.695123
1276.0000,0.695795
1277.0000,0.694302
1278.0000,0.694484
1279.0000,0.695404
1280.0000,0.696716
1281.0000,0.694127
1282.0000,0.697510
1283.0000,0.695450
1284.0000,0.695967
1285.0000,0.692990
1286.0000,0.697859
1287.0000,0.695206
1288.0000,0.699343
1289.0000,0.693447
1290.0000,0.694605
1291.0000,0.695530
1292.0000,0.696296
1293.0000,0.693953
1294.0000,0.694667
1295.0000,0.696233
1296.0000,0.694795
1297.0000,0.696182
1298.0000,0.696261
1299.0000,0.698079
1300.0000,0.697088
1301.0000,0.701503
1302.0000,0.697234
1303.0000,0.695104
1304.0000,0.699303
1305.0000,0.695966
1306.0000,0.695929
1307.0000,0.697505
1308.0000,0.697961
1309.0000,0.695922
1310.0000,0.697277
1311.0000,0.695626
1312.0000,0.697336
1313.0000,0.698252
1314.0000,0.696489
1315.0000,0.698674
1316.0000,0.696282
1317.0000,0.699747
1318.0000,0.697737
1319.0000,0.697063
1320.0000,0.697662
1321.0000,0.699143
1322.0000,0.696119
1323.0000,0.696550
1324.0000,0.699706
1325.0000,0.698417
1326.0000,0.696872
1327.0000,0.695665
1328.0000,0.698740
1329.0000,0.696672
1330.0000,0.696907
1331.0000,0.699947
1332.0000,0.699182
1333.0000,0.697998
1334.0000,0.699541
1335.0000,0.696778
1336.0000,0.698843
1337.0000,0.698597
1338.0000,0.701276
1339.0000,0.698904
1340.0000,0.697555
1341.0000,0.697482
1342.0000,0.694775
1343.0000,0.699939
1344.0000,0.699183
1345.0000,0.700465
1346.0000,0.695827
1347.0000,0.700452
1348.0000,0.700093
1349.0000,0.694892
1350.0000,0.698962
1351.0000,0.700110
1352.0000,0.699998
1353.0000,0.696486
1354.0000,0.697829
1355.0000,0.699834
1356.0000,0.700663
1357.0000,0.701747
1358.0000,0.698048
1359.0000,0.699176
1360.0000,0.697648
1361.0000,0.697458
1362.0000,0.699816
1363.0000,0.698652
1364.0000,0.698410
1365.0000,0.698139
1366.0000,0.701209
1367.0000,0.700054
1368.0000,0.701314
1369.0000,0.696009
1370.0000,0.703185
1371.0000,0.698524
1372.0000,0.699091
1373.0000,0.698183
1374.0000,0.699983
1375.0000,0.698310
1376.0000,0.697011
1377.0000,0.696439
1378.0000,0.696417
1379.0000,0.695281
1380.0000,0.693340
1381.0000,0.693763
1382.0000,0.689684
1383.0000,0.691667
1384.0000,0.686599
1385.0000,0.686742
1386.0000,0.683397
1387.0000,0.680146
1388.0000,0.677992
1389.0000,0.679654
1390.0000,0.674462
1391.0000,0.669307
1392.0000,0.667603
1393.0000,0.663942
1394.0000,0.659457
1395.0000,0.655180
1396.0000,0.649378
1397.0000,0.644895
1398.0000,0.638342
1399.0000,0.633950
1400.0000,0.634179
1401.0000,0.628932
1402.0000,0.623312
1403.0000,0.619298
1404.0000,0.619523
1405.0000,0.614702
1406.0000,0.614187
1407.0000,0.612602
1408.0000,0.607844
1409.0000,0.609724
1410.0000,0.610203
1411.0000,0.608889
1412.0000,0.609631
1413.0000,0.610306
1414.0000,0.614003
1415.0000,0.614765
1416.0000,0.618184
1417.0000,0.620851
1418.0000,0.624689
1419.0000,0.628387
1420.0000,0.632927
1421.0000,0.638391
1422.0000,0.640403
1423.0000,0.643374
1424.0000,0.652110
1425.0000,0.656742
1426.0000,0.657320
1427.0000,0.662487
1428.0000,0.665817
1429.0000,0.668508
1430.0000,0.671383
1431.0000,0.675701
1432.0000,0.680666
1433.0000,0.682169
1434.0000,0.683902
1435.0000,0.684999
1436.0000,0.688565
1437.0000,0.692224
1438.0000,0.694606
1439.0000,0.694794
1440.0000,0.693623
1441.0000,0.696740
1442.0000,0.695063
1443.0000,0.696239
1444.0000,0.699885
1445.0000,0.698915
1446.0000,0.699475
1447.0000,0.697603
1448.0000,0.698632
1449.0000,0.698993
1450.0000,0.700050
1451.0000,0.697763
1452.0000,0.698531
1453.0000,0.698576
1454.0000,0.696336
1455.0000,0.699784
1456.0000,0.700547
1457.0000,0.700813
1458.0000,0.697193
1459.0000,0.699551
1460.0000,0.697272
1461.0000,0.700407
1462.0000,0.700059
1463.0000,0.698685
1464.0000,0.698264
1465.0000,0.701301
1466.0000,0.701192
1467.0000,0.699716
1468.0000,0.702981
1469.0000,0.697644
1470.0000,0.701504
1471.0000,0.698060
1472.0000,0.699222
1473.0000,0.700541
1474.0000,0.699732
1475.0000,0.699498
1476.0000,0.698539
1477.0000,0.697446
1478.0000,0.701761
1479.0000,0.701179
1480.0000,0.698143
1481.0000,0.697328
1482.0000,0.699316
1483.0000,0.699164
1484.0000,0.700142
1485.0000,0.697015
1486.0000,0.697890
1487.0000,0.699446
1488.0000,0.697220
1489.0000,0.697922
1490.0000,0.699086
1491.0000,0.696656
1492.0000,0.698353
1493.0000,0.696436
1494.0000,0.697293
1495.0000,0.700015
1496.0000,0.696978
1497.0000,0.697540
1498.0000,0.698048
1499.0000,0.699098
1500.0000,0.699419
1501.0000,0.699758
1502.0000,0.700829
1503.0000,0.698278
1504.0000,0.698691
1505.0000,0.698585
1506.0000,0.695089
1507.0000,0.698214
1508.0000,0.699919
1509.0000,0.699393
1510.0000,0.698160
1511.0000,0.699175
1512.0000,0.698532
1513.0000,0.697705
1514.0000,0.700683
1515.0000,0.701076
1516.0000,0.699231
1517.0000,0.696549
1518.0000,0.699123
1519.0000,0.699252
1520.0000,0.697650
1521.0000,0.700435
1522.0000,0.698370
1523.0000,0.698039
1524.0000,0.699161
1525.0000,0.698972
1526.0000,0.700517
1527.0000,0.699201
1528.0000,0.695931
1529.0000,0.696832
1530.0000,0.699339
1531.0000,0.697895
1532.0000,0.696958
1533.0000,0.701324
1534.0000,0.700357
1535.0000,0.697248
1536.0000,0.697076
1537.0000,0.696165
1538.0000,0.698199
1539.0000,0.697244
1540.0000,0.696396
1541.0000,0.695577
1542.0000,0.699290
1543.0000,0.697012
1544.0000,0.697658
1545.0000,0.695827
1546.0000,0.697974
1547.0000,0.699776
1548.0000,0.697661
1549.0000,0.698814
1550.0000,0.699965
1551.0000,0.696800
1552.0000,0.697154
1553.0000,0.699026
1554.0000,0.694412
1555.0000,0.697710
1556.0000,0.697348
1557.0000,0.700134
1558.0000,0.694062
