# swirl-format: 1
# swirl-version: 0.1.0.dev0
# quantity: reflectance
# [chlorite] meta: {"synthetic": true, "end_member": "chlorite", "label": "Chlorite (Fe-Mg intermediate: FeOH ~2253 nm, MgOH ~2340 nm)"}
# [chlorite] history: [{"name": "synthesize", "params": {"end_member": {"key": "chlorite", "label": "Chlorite (Fe-Mg intermediate: FeOH ~2253 nm, MgOH ~2340 nm)", "continuum": [[350.0, 0.18], [600.0, 0.32], [1000.0, 0.42], [1400.0, 0.48], [2000.0, 0.48], [2500.0, 0.42]], "features": [{"center": 1050.0, "fwhm": 350.0, "depth": 0.15, "assignment": "Fe2+ crystal field"}, {"center": 1395.0, "fwhm": 25.0, "depth": 0.08, "assignment": "OH"}, {"center": 1910.0, "fwhm": 50.0, "depth": 0.05, "assignment": "H2O"}, {"center": 2253.0, "fwhm": 30.0, "depth": 0.18, "assignment": "FeOH"}, {"center": 2340.0, "fwhm": 45.0, "depth": 0.3, "assignment": "MgOH"}]}}, "swirl_version": "0.1.0.dev0"}]
wavelength_nm,chlorite
403.0000,0.215406
404.0000,0.216059
405.0000,0.216711
406.0000,0.217362
407.0000,0.218013
408.0000,0.218662
409.0000,0.219311
410.0000,0.219960
411.0000,0.220607
412.0000,0.221254
413.0000,0.221900
414.0000,0.222545
415.0000,0.223189
416.0000,0.223833
417.0000,0.224476
418.0000,0.225118
419.0000,0.225759
420.0000,0.226399
421.0000,0.227038
422.0000,0.227677
423.0000,0.228314
424.0000,0.228951
425.0000,0.229587
426.0000,0.230222
427.0000,0.230856
428.0000,0.231489
429.0000,0.232122
430.0000,0.232753
431.0000,0.233384
432.0000,0.234013
433.0000,0.234642
434.0000,0.235269
435.0000,0.235896
436.0000,0.236521
437.0000,0.237146
438.0000,0.237770
439.0000,0.238392
440.0000,0.239014
441.0000,0.239635
442.0000,0.240254
443.0000,0.240873
444.0000,0.241491
445.0000,0.242107
446.0000,0.242723
447.0000,0.243337
448.0000,0.243950
449.0000,0.244563
450.0000,0.245174
451.0000,0.245784
452.0000,0.246393
453.0000,0.247001
454.0000,0.247607
455.0000,0.248213
456.0000,0.248817
457.0000,0.249421
458.0000,0.250023
459.0000,0.250624
460.0000,0.251223
461.0000,0.251822
462.0000,0.252420
463.0000,0.253016
464.0000,0.253611
465.0000,0.254205
466.0000,0.254797
467.0000,0.255388
468.0000,0.255979
469.0000,0.256567
470.0000,0.257155
471.0000,0.257741
472.0000,0.258326
473.0000,0.258910
474.0000,0.259493
475.0000,0.260074
476.0000,0.260654
477.0000,0.261232
478.0000,0.261810
479.0000,0.262385
480.0000,0.262960
481.0000,0.263533
482.0000,0.264105
483.0000,0.264676
484.0000,0.265245
485.0000,0.265812
486.0000,0.266379
487.0000,0.266944
488.0000,0.267507
489.0000,0.268069
490.0000,0.268630
491.0000,0.269189
492.0000,0.269747
493.0000,0.270303
494.0000,0.270858
495.0000,0.271411
496.0000,0.271963
497.0000,0.272514
498.0000,0.273063
499.0000,0.273610
500.0000,0.274156
501.0000,0.274700
502.0000,0.275243
503.0000,0.275784
504.0000,0.276324
505.0000,0.276862
506.0000,0.277399
507.0000,0.277934
508.0000,0.278467
509.0000,0.278999
510.0000,0.279530
511.0000,0.280058
512.0000,0.280585
513.0000,0.281111
514.0000,0.281634
515.0000,0.282156
516.0000,0.282677
517.0000,0.283196
518.0000,0.283713
519.0000,0.284228
520.0000,0.284742
521.0000,0.285254
522.0000,0.285764
523.0000,0.286273
524.0000,0.286780
525.0000,0.287285
526.0000,0.287788
527.0000,0.288290
528.0000,0.288789
529.0000,0.289288
530.0000,0.289784
531.0000,0.290278
532.0000,0.290771
533.0000,0.291262
534.0000,0.291751
535.0000,0.292238
536.0000,0.292723
537.0000,0.293207
538.0000,0.293689
539.0000,0.294168
540.0000,0.294646
541.0000,0.295122
542.0000,0.295596
543.0000,0.296069
544.0000,0.296539
545.0000,0.297007
546.0000,0.297474
547.0000,0.297938
548.0000,0.298401
549.0000,0.298861
550.0000,0.299320
551.0000,0.299776
552.0000,0.300231
553.0000,0.300684
554.0000,0.301134
555.0000,0.301583
556.0000,0.302029
557.0000,0.302474
558.0000,0.302916
559.0000,0.303357
560.0000,0.303795
561.0000,0.304231
562.0000,0.304665
563.0000,0.305097
564.0000,0.305527
565.0000,0.305955
566.0000,0.306381
567.0000,0.306804
568.0000,0.307226
569.0000,0.307645
570.0000,0.308062
571.0000,0.308477
572.0000,0.308889
573.0000,0.309300
574.0000,0.309708
575.0000,0.310114
576.0000,0.310518
577.0000,0.310919
578.0000,0.311318
579.0000,0.311715
580.0000,0.312110
581.0000,0.312503
582.0000,0.312893
583.0000,0.313281
584.0000,0.313666
585.0000,0.314049
586.0000,0.314430
587.0000,0.314808
588.0000,0.315185
589.0000,0.315558
590.0000,0.315930
591.0000,0.316299
592.0000,0.316665
593.0000,0.317029
594.0000,0.317391
595.0000,0.317750
596.0000,0.318107
597.0000,0.318461
598.0000,0.318813
599.0000,0.319162
600.0000,0.319509
601.0000,0.319855
602.0000,0.320199
603.0000,0.320542
604.0000,0.320884
605.0000,0.321226
606.0000,0.321566
607.0000,0.321905
608.0000,0.322244
609.0000,0.322581
610.0000,0.322918
611.0000,0.323253
612.0000,0.323588
613.0000,0.323921
614.0000,0.324254
615.0000,0.324586
616.0000,0.324916
617.0000,0.325246
618.0000,0.325575
619.0000,0.325902
620.0000,0.326229
621.0000,0.326555
622.0000,0.326879
623.0000,0.327203
624.0000,0.327526
625.0000,0.327847
626.0000,0.328168
627.0000,0.328488
628.0000,0.328807
629.0000,0.329124
630.0000,0.329441
631.0000,0.329756
632.0000,0.330071
633.0000,0.330385
634.0000,0.330697
635.0000,0.331009
636.0000,0.331319
637.0000,0.331628
638.0000,0.331937
639.0000,0.332244
640.0000,0.332550
641.0000,0.332855
642.0000,0.333160
643.0000,0.333463
644.0000,0.333765
645.0000,0.334066
646.0000,0.334366
647.0000,0.334664
648.0000,0.334962
649.0000,0.335259
650.0000,0.335554
651.0000,0.335849
652.0000,0.336142
653.0000,0.336434
654.0000,0.336725
655.0000,0.337015
656.0000,0.337304
657.0000,0.337592
658.0000,0.337879
659.0000,0.338164
660.0000,0.338449
661.0000,0.338732
662.0000,0.339014
663.0000,0.339295
664.0000,0.339575
665.0000,0.339854
666.0000,0.340131
667.0000,0.340408
668.0000,0.340683
669.0000,0.340957
670.0000,0.341230
671.0000,0.341501
672.0000,0.341772
673.0000,0.342041
674.0000,0.342309
675.0000,0.342576
676.0000,0.342842
677.0000,0.343106
678.0000,0.343370
679.0000,0.343632
680.0000,0.343892
681.0000,0.344152
682.0000,0.344410
683.0000,0.344667
684.0000,0.344923
685.0000,0.345178
686.0000,0.345431
687.0000,0.345683
688.0000,0.345934
689.0000,0.346184
690.0000,0.346432
691.0000,0.346679
692.0000,0.346924
693.0000,0.347169
694.0000,0.347412
695.0000,0.347653
696.0000,0.347894
697.0000,0.348133
698.0000,0.348371
699.0000,0.348607
700.0000,0.348842
701.0000,0.349076
702.0000,0.349308
703.0000,0.349539
704.0000,0.349769
705.0000,0.349997
706.0000,0.350224
707.0000,0.350450
708.0000,0.350674
709.0000,0.350897
710.0000,0.351118
711.0000,0.351338
712.0000,0.351557
713.0000,0.351774
714.0000,0.351990
715.0000,0.352204
716.0000,0.352417
717.0000,0.352628
718.0000,0.352838
719.0000,0.353047
720.0000,0.353254
721.0000,0.353459
722.0000,0.353664
723.0000,0.353866
724.0000,0.354067
725.0000,0.354267
726.0000,0.354465
727.0000,0.354662
728.0000,0.354857
729.0000,0.355051
730.0000,0.355243
731.0000,0.355434
732.0000,0.355623
733.0000,0.355810
734.0000,0.355996
735.0000,0.356181
736.0000,0.356364
737.0000,0.356545
738.0000,0.356725
739.0000,0.356903
740.0000,0.357080
741.0000,0.357255
742.0000,0.357429
743.0000,0.357601
744.0000,0.357771
745.0000,0.357940
746.0000,0.358107
747.0000,0.358273
748.0000,0.358436
749.0000,0.358599
750.0000,0.358759
751.0000,0.358919
752.0000,0.359076
753.0000,0.359232
754.0000,0.359386
755.0000,0.359538
756.0000,0.359689
757.0000,0.359838
758.0000,0.359986
759.0000,0.360132
760.0000,0.360276
761.0000,0.360418
762.0000,0.360559
763.0000,0.360698
764.0000,0.360836
765.0000,0.360972
766.0000,0.361106
767.0000,0.361238
768.0000,0.361369
769.0000,0.361498
770.0000,0.361625
771.0000,0.361751
772.0000,0.361875
773.0000,0.361997
774.0000,0.362117
775.0000,0.362236
776.0000,0.362353
777.0000,0.362468
778.0000,0.362581
779.0000,0.362693
780.0000,0.362803
781.0000,0.362912
782.0000,0.363018
783.0000,0.363123
784.0000,0.363226
785.0000,0.363327
786.0000,0.363427
787.0000,0.363525
788.0000,0.363621
789.0000,0.363715
790.0000,0.363808
791.0000,0.363899
792.0000,0.363988
793.0000,0.364075
794.0000,0.364161
795.0000,0.364245
796.0000,0.364327
797.0000,0.364407
798.0000,0.364486
799.0000,0.364563
800.0000,0.364638
801.0000,0.364711
802.0000,0.364783
803.0000,0.364853
804.0000,0.364921
805.0000,0.364987
806.0000,0.365052
807.0000,0.365115
808.0000,0.365176
809.0000,0.365236
810.0000,0.365293
811.0000,0.365349
812.0000,0.365404
813.0000,0.365456
814.0000,0.365507
815.0000,0.365556
816.0000,0.365604
817.0000,0.365649
818.0000,0.365693
819.0000,0.365736
820.0000,0.365776
821.0000,0.365815
822.0000,0.365853
823.0000,0.365888
824.0000,0.365922
825.0000,0.365955
826.0000,0.365985
827.0000,0.366014
828.0000,0.366041
829.0000,0.366067
830.0000,0.366091
831.0000,0.366114
832.0000,0.366135
833.0000,0.366154
834.0000,0.366171
835.0000,0.366187
836.0000,0.366202
837.0000,0.366215
838.0000,0.366226
839.0000,0.366236
840.0000,0.366244
841.0000,0.366251
842.0000,0.366256
843.0000,0.366259
844.0000,0.366261
845.0000,0.366262
846.0000,0.366261
847.0000,0.366259
848.0000,0.366255
849.0000,0.366250
850.0000,0.366243
851.0000,0.366235
852.0000,0.366225
853.0000,0.366214
854.0000,0.366202
855.0000,0.366188
856.0000,0.366173
857.0000,0.366157
858.0000,0.366139
859.0000,0.366120
860.0000,0.366100
861.0000,0.366078
862.0000,0.366055
863.0000,0.366031
864.0000,0.366005
865.0000,0.365978
866.0000,0.365950
867.0000,0.365921
868.0000,0.365891
869.0000,0.365859
870.0000,0.365827
871.0000,0.365793
872.0000,0.365758
873.0000,0.365722
874.0000,0.365685
875.0000,0.365647
876.0000,0.365607
877.0000,0.365567
878.0000,0.365526
879.0000,0.365484
880.0000,0.365441
881.0000,0.365396
882.0000,0.365351
883.0000,0.365305
884.0000,0.365258
885.0000,0.365211
886.0000,0.365162
887.0000,0.365112
888.0000,0.365062
889.0000,0.365011
890.0000,0.364959
891.0000,0.364907
892.0000,0.364853
893.0000,0.364799
894.0000,0.364745
895.0000,0.364689
896.0000,0.364634
897.0000,0.364577
898.0000,0.364520
899.0000,0.364462
900.0000,0.364404
901.0000,0.364345
902.0000,0.364286
903.0000,0.364226
904.0000,0.364166
905.0000,0.364105
906.0000,0.364044
907.0000,0.363983
908.0000,0.363921
909.0000,0.363859
910.0000,0.363797
911.0000,0.363734
912.0000,0.363672
913.0000,0.363608
914.0000,0.363545
915.0000,0.363482
916.0000,0.363418
917.0000,0.363355
918.0000,0.363291
919.0000,0.363227
920.0000,0.363163
921.0000,0.363100
922.0000,0.363036
923.0000,0.362972
924.0000,0.362908
925.0000,0.362845
926.0000,0.362781
927.0000,0.362718
928.0000,0.362655
929.0000,0.362592
930.0000,0.362530
931.0000,0.362467
932.0000,0.362405
933.0000,0.362344
934.0000,0.362282
935.0000,0.362221
936.0000,0.362161
937.0000,0.362101
938.0000,0.362041
939.0000,0.361982
940.0000,0.361923
941.0000,0.361865
942.0000,0.361808
943.0000,0.361751
944.0000,0.361695
945.0000,0.361640
946.0000,0.361585
947.0000,0.361531
948.0000,0.361477
949.0000,0.361425
950.0000,0.361373
951.0000,0.361322
952.0000,0.361273
953.0000,0.361224
954.0000,0.361175
955.0000,0.361128
956.0000,0.361082
957.0000,0.361037
958.0000,0.360993
959.0000,0.360950
960.0000,0.360908
961.0000,0.360868
962.0000,0.360828
963.0000,0.360790
964.0000,0.360753
965.0000,0.360717
966.0000,0.360682
967.0000,0.360649
968.0000,0.360617
969.0000,0.360586
970.0000,0.360557
971.0000,0.360530
972.0000,0.360503
973.0000,0.360478
974.0000,0.360455
975.0000,0.360433
976.0000,0.360413
977.0000,0.360395
978.0000,0.360378
979.0000,0.360362
980.0000,0.360349
981.0000,0.360337
982.0000,0.360326
983.0000,0.360318
984.0000,0.360311
985.0000,0.360306
986.0000,0.360303
987.0000,0.360302
988.0000,0.360303
989.0000,0.360305
990.0000,0.360310
991.0000,0.360316
992.0000,0.360324
993.0000,0.360335
994.0000,0.360347
995.0000,0.360362
996.0000,0.360378
997.0000,0.360397
998.0000,0.360418
999.0000,0.360441
1000.0000,0.360466
1001.0000,0.360493
1002.0000,0.360523
1003.0000,0.360556
1004.0000,0.360591
1005.0000,0.360629
1006.0000,0.360670
1007.0000,0.360713
1008.0000,0.360760
1009.0000,0.360808
1010.0000,0.360860
1011.0000,0.360914
1012.0000,0.360971
1013.0000,0.361031
1014.0000,0.361094
1015.0000,0.361159
1016.0000,0.361227
1017.0000,0.361298
1018.0000,0.361372
1019.0000,0.361449
1020.0000,0.361528
1021.0000,0.361611
1022.0000,0.361696
1023.0000,0.361784
1024.0000,0.361876
1025.0000,0.361970
1026.0000,0.362067
1027.0000,0.362167
1028.0000,0.362269
1029.0000,0.362375
1030.0000,0.362484
1031.0000,0.362596
1032.0000,0.362711
1033.0000,0.362828
1034.0000,0.362949
1035.0000,0.363073
1036.0000,0.363200
1037.0000,0.363329
1038.0000,0.363462
1039.0000,0.363598
1040.0000,0.363737
1041.0000,0.363879
1042.0000,0.364024
1043.0000,0.364172
1044.0000,0.364322
1045.0000,0.364477
1046.0000,0.364634
1047.0000,0.364794
1048.0000,0.364957
1049.0000,0.365123
1050.0000,0.365292
1051.0000,0.365465
1052.0000,0.365640
1053.0000,0.365819
1054.0000,0.366000
1055.0000,0.366185
1056.0000,0.366372
1057.0000,0.366563
1058.0000,0.366757
1059.0000,0.366954
1060.0000,0.367154
1061.0000,0.367356
1062.0000,0.367562
1063.0000,0.367771
1064.0000,0.367983
1065.0000,0.368198
1066.0000,0.368416
1067.0000,0.368637
1068.0000,0.368862
1069.0000,0.369089
1070.0000,0.369319
1071.0000,0.369552
1072.0000,0.369788
1073.0000,0.370027
1074.0000,0.370269
1075.0000,0.370514
1076.0000,0.370761
1077.0000,0.371012
1078.0000,0.371266
1079.0000,0.371523
1080.0000,0.371782
1081.0000,0.372045
1082.0000,0.372310
1083.0000,0.372578
1084.0000,0.372849
1085.0000,0.373123
1086.0000,0.373400
1087.0000,0.373680
1088.0000,0.373962
1089.0000,0.374247
1090.0000,0.374535
1091.0000,0.374826
1092.0000,0.375119
1093.0000,0.375415
1094.0000,0.375714
1095.0000,0.376016
1096.0000,0.376320
1097.0000,0.376627
1098.0000,0.376937
1099.0000,0.377249
1100.0000,0.377564
1101.0000,0.377881
1102.0000,0.378201
1103.0000,0.378524
1104.0000,0.378849
1105.0000,0.379176
1106.0000,0.379507
1107.0000,0.379839
1108.0000,0.380174
1109.0000,0.380512
1110.0000,0.380852
1111.0000,0.381194
1112.0000,0.381539
1113.0000,0.381886
1114.0000,0.382235
1115.0000,0.382587
1116.0000,0.382940
1117.0000,0.383297
1118.0000,0.383655
1119.0000,0.384016
1120.0000,0.384378
1121.0000,0.384743
1122.0000,0.385110
1123.0000,0.385480
1124.0000,0.385851
1125.0000,0.386224
1126.0000,0.386599
1127.0000,0.386977
1128.0000,0.387356
1129.0000,0.387737
1130.0000,0.388121
1131.0000,0.388506
1132.0000,0.388893
1133.0000,0.389282
1134.0000,0.389672
1135.0000,0.390065
1136.0000,0.390459
1137.0000,0.390855
1138.0000,0.391252
1139.0000,0.391652
1140.0000,0.392053
1141.0000,0.392455
1142.0000,0.392859
1143.0000,0.393265
1144.0000,0.393672
1145.0000,0.394081
1146.0000,0.394491
1147.0000,0.394903
1148.0000,0.395316
1149.0000,0.395730
1150.0000,0.396146
1151.0000,0.396563
1152.0000,0.396982
1153.0000,0.397401
1154.0000,0.397822
1155.0000,0.398244
1156.0000,0.398668
1157.0000,0.399092
1158.0000,0.399517
1159.0000,0.399944
1160.0000,0.400372
1161.0000,0.400800
1162.0000,0.401230
1163.0000,0.401660
1164.0000,0.402092
1165.0000,0.402524
1166.0000,0.402957
1167.0000,0.403391
1168.0000,0.403826
1169.0000,0.404262
1170.0000,0.404698
1171.0000,0.405135
1172.0000,0.405572
1173.0000,0.406011
1174.0000,0.406450
1175.0000,0.406889
1176.0000,0.407329
1177.0000,0.407769
1178.0000,0.408210
1179.0000,0.408652
1180.0000,0.409093
1181.0000,0.409536
1182.0000,0.409978
1183.0000,0.410421
1184.0000,0.410864
1185.0000,0.411307
1186.0000,0.411751
1187.0000,0.412195
1188.0000,0.412638
1189.0000,0.413083
1190.0000,0.413527
1191.0000,0.413971
1192.0000,0.414415
1193.0000,0.414859
1194.0000,0.415303
1195.0000,0.415748
1196.0000,0.416192
1197.0000,0.416635
1198.0000,0.417079
1199.0000,0.417523
1200.0000,0.417966
1201.0000,0.418409
1202.0000,0.418852
1203.0000,0.419295
1204.0000,0.419737
1205.0000,0.420179
1206.0000,0.420620
1207.0000,0.421061
1208.0000,0.421502
1209.0000,0.421942
1210.0000,0.422381
1211.0000,0.422820
1212.0000,0.423259
1213.0000,0.423697
1214.0000,0.424134
1215.0000,0.424571
1216.0000,0.425007
1217.0000,0.425442
1218.0000,0.425876
1219.0000,0.426310
1220.0000,0.426743
1221.0000,0.427175
1222.0000,0.427607
1223.0000,0.428037
1224.0000,0.428467
1225.0000,0.428895
1226.0000,0.429323
1227.0000,0.429750
1228.0000,0.430176
1229.0000,0.430600
1230.0000,0.431024
1231.0000,0.431447
1232.0000,0.431868
1233.0000,0.432289
1234.0000,0.432708
1235.0000,0.433126
1236.0000,0.433543
1237.0000,0.433958
1238.0000,0.434373
1239.0000,0.434786
1240.0000,0.435198
1241.0000,0.435609
1242.0000,0.436018
1243.0000,0.436426
1244.0000,0.436832
1245.0000,0.437238
1246.0000,0.437641
1247.0000,0.438044
1248.0000,0.438445
1249.0000,0.438844
1250.0000,0.439242
1251.0000,0.439638
1252.0000,0.440033
1253.0000,0.440426
1254.0000,0.440818
1255.0000,0.441208
1256.0000,0.441597
1257.0000,0.441984
1258.0000,0.442369
1259.0000,0.442753
1260.0000,0.443134
1261.0000,0.443515
1262.0000,0.443893
1263.0000,0.444270
1264.0000,0.444645
1265.0000,0.445018
1266.0000,0.445390
1267.0000,0.445759
1268.0000,0.446127
1269.0000,0.446493
1270.0000,0.446857
1271.0000,0.447219
1272.0000,0.447580
1273.0000,0.447938
1274.0000,0.448295
1275.0000,0.448649
1276.0000,0.449002
1277.0000,0.449353
1278.0000,0.449702
1279.0000,0.450049
1280.0000,0.450394
1281.0000,0.450736
1282.0000,0.451077
1283.0000,0.451416
1284.0000,0.451753
1285.0000,0.452088
1286.0000,0.452420
1287.0000,0.452751
1288.0000,0.453080
1289.0000,0.453406
1290.0000,0.453730
1291.0000,0.454053
1292.0000,0.454373
1293.0000,0.454691
1294.0000,0.455007
1295.0000,0.455320
1296.0000,0.455632
1297.0000,0.455941
1298.0000,0.456248
1299.0000,0.456553
1300.0000,0.456856
1301.0000,0.457157
1302.0000,0.457455
1303.0000,0.457752
1304.0000,0.458046
1305.0000,0.458337
1306.0000,0.458627
1307.0000,0.458914
1308.0000,0.459199
1309.0000,0.459482
1310.0000,0.459763
1311.0000,0.460041
1312.0000,0.460317
1313.0000,0.460591
1314.0000,0.460862
1315.0000,0.461131
1316.0000,0.461398
1317.0000,0.461663
1318.0000,0.461925
1319.0000,0.462185
1320.0000,0.462443
1321.0000,0.462698
1322.0000,0.462951
1323.0000,0.463202
1324.0000,0.463450
1325.0000,0.463696
1326.0000,0.463940
1327.0000,0.464181
1328.0000,0.464421
1329.0000,0.464657
1330.0000,0.464892
1331.0000,0.465124
1332.0000,0.465354
1333.0000,0.465581
1334.0000,0.465806
1335.0000,0.466029
1336.0000,0.466249
1337.0000,0.466467
1338.0000,0.466683
1339.0000,0.466896
1340.0000,0.467107
1341.0000,0.467316
1342.0000,0.467522
1343.0000,0.467726
1344.0000,0.467927
1345.0000,0.468126
1346.0000,0.468323
1347.0000,0.468517
1348.0000,0.468708
1349.0000,0.468897
1350.0000,0.469083
1351.0000,0.469266
1352.0000,0.469445
1353.0000,0.469621
1354.0000,0.469792
1355.0000,0.469958
1356.0000,0.470119
1357.0000,0.470272
1358.0000,0.470416
1359.0000,0.470549
1360.0000,0.470668
1361.0000,0.470771
1362.0000,0.470853
1363.0000,0.470909
1364.0000,0.470935
1365.0000,0.470922
1366.0000,0.470863
1367.0000,0.470750
1368.0000,0.470573
1369.0000,0.470321
1370.0000,0.469983
1371.0000,0.469547
1372.0000,0.469001
1373.0000,0.468334
1374.0000,0.467536
1375.0000,0.466596
1376.0000,0.465509
1377.0000,0.464270
1378.0000,0.462879
1379.0000,0.461339
1380.0000,0.459659
1381.0000,0.457854
1382.0000,0.455941
1383.0000,0.453946
1384.0000,0.451899
1385.0000,0.449835
1386.0000,0.447793
1387.0000,0.445813
1388.0000,0.443940
1389.0000,0.442218
1390.0000,0.440687
1391.0000,0.439389
1392.0000,0.438356
1393.0000,0.437619
1394.0000,0.437198
1395.0000,0.437106
1396.0000,0.437349
1397.0000,0.437923
1398.0000,0.438813
1399.0000,0.439999
1400.0000,0.441453
1401.0000,0.443141
1402.0000,0.445024
1403.0000,0.447059
1404.0000,0.449205
1405.0000,0.451417
1406.0000,0.453653
1407.0000,0.455875
1408.0000,0.458047
1409.0000,0.460140
1410.0000,0.462128
1411.0000,0.463992
1412.0000,0.465719
1413.0000,0.467298
1414.0000,0.468727
1415.0000,0.470006
1416.0000,0.471138
1417.0000,0.472131
1418.0000,0.472993
1419.0000,0.473735
1420.0000,0.474368
1421.0000,0.474904
1422.0000,0.475356
1423.0000,0.475734
1424.0000,0.476048
1425.0000,0.476310
1426.0000,0.476527
1427.0000,0.476708
1428.0000,0.476859
1429.0000,0.476985
1430.0000,0.477092
1431.0000,0.477184
1432.0000,0.477264
1433.0000,0.477334
1434.0000,0.477397
1435.0000,0.477455
1436.0000,0.477508
1437.0000,0.477557
1438.0000,0.477604
1439.0000,0.477649
1440.0000,0.477692
1441.0000,0.477734
1442.0000,0.477775
1443.0000,0.477815
1444.0000,0.477854
1445.0000,0.477892
1446.0000,0.477930
1447.0000,0.477967
1448.0000,0.478003
1449.0000,0.478039
1450.0000,0.478074
1451.0000,0.478109
1452.0000,0.478143
1453.0000,0.478176
1454.0000,0.478209
1455.0000,0.478242
1456.0000,0.478274
1457.0000,0.478305
1458.0000,0.478336
1459.0000,0.478367
1460.0000,0.478397
1461.0000,0.478426
1462.0000,0.478455
1463.0000,0.478484
1464.0000,0.478512
1465.0000,0.478540
1466.0000,0.478567
1467.0000,0.478594
1468.0000,0.478620
1469.0000,0.478646
1470.0000,0.478671
1471.0000,0.478696
1472.0000,0.478721
1473.0000,0.478745
1474.0000,0.478769
1475.0000,0.478793
1476.0000,0.478816
1477.0000,0.478838
1478.0000,0.478860
1479.0000,0.478882
1480.0000,0.478904
1481.0000,0.478925
1482.0000,0.478946
1483.0000,0.478966
1484.0000,0.478986
1485.0000,0.479006
1486.0000,0.479026
1487.0000,0.479045
1488.0000,0.479063
1489.0000,0.479082
1490.0000,0.479100
1491.0000,0.479118
1492.0000,0.479135
1493.0000,0.479152
1494.0000,0.479169
1495.0000,0.479186
1496.0000,0.479202
1497.0000,0.479218
1498.0000,0.479234
1499.0000,0.479249
1500.0000,0.479264
1501.0000,0.479279
1502.0000,0.479293
1503.0000,0.479308
1504.0000,0.479322
1505.0000,0.479336
1506.0000,0.479349
1507.0000,0.479363
1508.0000,0.479376
1509.0000,0.479388
1510.0000,0.479401
1511.0000,0.479413
1512.0000,0.479426
1513.0000,0.479437
1514.0000,0.479449
1515.0000,0.479461
1516.0000,0.479472
1517.0000,0.479483
1518.0000,0.479494
1519.0000,0.479504
1520.0000,0.479515
1521.0000,0.479525
1522.0000,0.479535
1523.0000,0.479545
1524.0000,0.479554
1525.0000,0.479564
1526.0000,0.479573
1527.0000,0.479582
1528.0000,0.479591
1529.0000,0.479600
1530.0000,0.479609
1531.0000,0.479617
1532.0000,0.479625
1533.0000,0.479633
1534.0000,0.479641
1535.0000,0.479649
1536.0000,0.479657
1537.0000,0.479664
1538.0000,0.479672
1539.0000,0.479679
1540.0000,0.479686
1541.0000,0.479693
1542.0000,0.479699
1543.0000,0.479706
1544.0000,0.479713
1545.0000,0.479719
1546.0000,0.479725
1547.0000,0.479731
1548.0000,0.479737
1549.0000,0.479743
1550.0000,0.479749
1551.0000,0.479754
1552.0000,0.479760
1553.0000,0.479765
1554.0000,0.479771
1555.0000,0.479776
1556.0000,0.479781
1557.0000,0.479786
1558.0000,0.479791
1559.0000,0.479796
1560.0000,0.479800
1561.0000,0.479805
1562.0000,0.479809
1563.0000,0.479814
1564.0000,0.479818
1565.0000,0.479822
1566.0000,0.479826
1567.0000,0.479830
1568.0000,0.479834
1569.0000,0.479838
1570.0000,0.479842
1571.0000,0.479845
1572.0000,0.479849
1573.0000,0.479853
1574.0000,0.479856
1575.0000,0.479859
1576.0000,0.479863
1577.0000,0.479866
1578.0000,0.479869
1579.0000,0.479872
1580.0000,0.479875
1581.0000,0.479878
1582.0000,0.479881
1583.0000,0.479884
