# swirl-format: 1
# swirl-version: 0.1.0.dev0
# quantity: reflectance
# [hematite] meta: {"synthetic": true, "end_member": "hematite", "label": "Hematite (Fe3+ charge-transfer edge, crystal-field band ~870 nm)"}
# [hematite] history: [{"name": "synthesize", "params": {"end_member": {"key": "hematite", "label": "Hematite (Fe3+ charge-transfer edge, crystal-field band ~870 nm)", "continuum": [[350.0, 0.03], [500.0, 0.04], [560.0, 0.06], [620.0, 0.15], [700.0, 0.25], [760.0, 0.29], [1300.0, 0.33], [2500.0, 0.34]], "features": [{"center": 870.0, "fwhm": 180.0, "depth": 0.3, "assignment": "Fe3+ crystal field"}]}}, "swirl_version": "0.1.0.dev0"}]
wavelength_nm,hematite
668.0000,0.213476
669.0000,0.214650
670.0000,0.215812
671.0000,0.216962
672.0000,0.218100
673.0000,0.219226
674.0000,0.220339
675.0000,0.221439
676.0000,0.222525
677.0000,0.223597
678.0000,0.224655
679.0000,0.225699
680.0000,0.226728
681.0000,0.227741
682.0000,0.228740
683.0000,0.229722
684.0000,0.230688
685.0000,0.231638
686.0000,0.232570
687.0000,0.233486
688.0000,0.234384
689.0000,0.235264
690.0000,0.236127
691.0000,0.236970
692.0000,0.237795
693.0000,0.238601
694.0000,0.239387
695.0000,0.240153
696.0000,0.240899
697.0000,0.241625
698.0000,0.242330
699.0000,0.243013
700.0000,0.243676
701.0000,0.244326
702.0000,0.244974
703.0000,0.245619
704.0000,0.246261
705.0000,0.246898
706.0000,0.247531
707.0000,0.248158
708.0000,0.248779
709.0000,0.249393
710.0000,0.250001
711.0000,0.250600
712.0000,0.251191
713.0000,0.251773
714.0000,0.252346
715.0000,0.252908
716.0000,0.253459
717.0000,0.253999
718.0000,0.254528
719.0000,0.255043
720.0000,0.255546
721.0000,0.256035
722.0000,0.256510
723.0000,0.256970
724.0000,0.257414
725.0000,0.257843
726.0000,0.258255
727.0000,0.258651
728.0000,0.259029
729.0000,0.259389
730.0000,0.259730
731.0000,0.260053
732.0000,0.260356
733.0000,0.260638
734.0000,0.260901
735.0000,0.261142
736.0000,0.261362
737.0000,0.261560
738.0000,0.261735
739.0000,0.261888
740.0000,0.262017
741.0000,0.262123
742.0000,0.262204
743.0000,0.262261
744.0000,0.262292
745.0000,0.262299
746.0000,0.262279
747.0000,0.262234
748.0000,0.262162
749.0000,0.262063
750.0000,0.261937
751.0000,0.261783
752.0000,0.261601
753.0000,0.261391
754.0000,0.261153
755.0000,0.260886
756.0000,0.260590
757.0000,0.260264
758.0000,0.259909
759.0000,0.259524
760.0000,0.259109
761.0000,0.258675
762.0000,0.258235
763.0000,0.257788
764.0000,0.257335
765.0000,0.256875
766.0000,0.256409
767.0000,0.255937
768.0000,0.255459
769.0000,0.254975
770.0000,0.254485
771.0000,0.253989
772.0000,0.253488
773.0000,0.252982
774.0000,0.252470
775.0000,0.251953
776.0000,0.251431
777.0000,0.250905
778.0000,0.250374
779.0000,0.249838
780.0000,0.249298
781.0000,0.248754
782.0000,0.248207
783.0000,0.247655
784.0000,0.247100
785.0000,0.246542
786.0000,0.245981
787.0000,0.245417
788.0000,0.244850
789.0000,0.244281
790.0000,0.243710
791.0000,0.243137
792.0000,0.242562
793.0000,0.241985
794.0000,0.241408
795.0000,0.240829
796.0000,0.240250
797.0000,0.239670
798.0000,0.239089
799.0000,0.238509
800.0000,0.237929
801.0000,0.237350
802.0000,0.236771
803.0000,0.236194
804.0000,0.235618
805.0000,0.235043
806.0000,0.234470
807.0000,0.233900
808.0000,0.233332
809.0000,0.232766
810.0000,0.232204
811.0000,0.231645
812.0000,0.231090
813.0000,0.230538
814.0000,0.229991
815.0000,0.229448
816.0000,0.228909
817.0000,0.228376
818.0000,0.227848
819.0000,0.227326
820.0000,0.226810
821.0000,0.226299
822.0000,0.225796
823.0000,0.225299
824.0000,0.224809
825.0000,0.224326
826.0000,0.223851
827.0000,0.223384
828.0000,0.222925
829.0000,0.222474
830.0000,0.222032
831.0000,0.221599
832.0000,0.221175
833.0000,0.220761
834.0000,0.220356
835.0000,0.219962
836.0000,0.219578
837.0000,0.219204
838.0000,0.218841
839.0000,0.218489
840.0000,0.218148
841.0000,0.217819
842.0000,0.217501
843.0000,0.217195
844.0000,0.216902
845.0000,0.216620
846.0000,0.216352
847.0000,0.216096
848.0000,0.215853
849.0000,0.215623
850.0000,0.215406
851.0000,0.215203
852.0000,0.215013
853.0000,0.214837
854.0000,0.214675
855.0000,0.214528
856.0000,0.214394
857.0000,0.214275
858.0000,0.214170
859.0000,0.214080
860.0000,0.214005
861.0000,0.213944
862.0000,0.213899
863.0000,0.213868
864.0000,0.213852
865.0000,0.213852
866.0000,0.213867
867.0000,0.213897
868.0000,0.213943
869.0000,0.214003
870.0000,0.214080
871.0000,0.214171
872.0000,0.214278
873.0000,0.214401
874.0000,0.214539
875.0000,0.214692
876.0000,0.214861
877.0000,0.215045
878.0000,0.215244
879.0000,0.215459
880.0000,0.215689
881.0000,0.215934
882.0000,0.216195
883.0000,0.216470
884.0000,0.216761
885.0000,0.217066
886.0000,0.217386
887.0000,0.217721
888.0000,0.218070
889.0000,0.218434
890.0000,0.218812
891.0000,0.219204
892.0000,0.219611
893.0000,0.220031
894.0000,0.220465
895.0000,0.220912
896.0000,0.221373
897.0000,0.221847
898.0000,0.222335
899.0000,0.222835
900.0000,0.223347
901.0000,0.223873
902.0000,0.224410
903.0000,0.224960
904.0000,0.225521
905.0000,0.226094
906.0000,0.226678
907.0000,0.227274
908.0000,0.227880
909.0000,0.228497
910.0000,0.229125
911.0000,0.229763
912.0000,0.230410
913.0000,0.231067
914.0000,0.231734
915.0000,0.232410
916.0000,0.233095
917.0000,0.233788
918.0000,0.234490
919.0000,0.235200
920.0000,0.235917
921.0000,0.236643
922.0000,0.237375
923.0000,0.238114
924.0000,0.238860
925.0000,0.239613
926.0000,0.240371
927.0000,0.241136
928.0000,0.241905
929.0000,0.242681
930.0000,0.243461
931.0000,0.244245
932.0000,0.245035
933.0000,0.245828
934.0000,0.246625
935.0000,0.247426
936.0000,0.248230
937.0000,0.249036
938.0000,0.249846
939.0000,0.250658
940.0000,0.251472
941.0000,0.252288
942.0000,0.253106
943.0000,0.253925
944.0000,0.254745
945.0000,0.255565
946.0000,0.256387
947.0000,0.257208
948.0000,0.258030
949.0000,0.258851
950.0000,0.259672
951.0000,0.260492
952.0000,0.261311
953.0000,0.262128
954.0000,0.262945
955.0000,0.263759
956.0000,0.264572
957.0000,0.265383
958.0000,0.266191
959.0000,0.266996
960.0000,0.267799
961.0000,0.268599
962.0000,0.269395
963.0000,0.270189
964.0000,0.270978
965.0000,0.271764
966.0000,0.272546
967.0000,0.273323
968.0000,0.274096
969.0000,0.274865
970.0000,0.275629
971.0000,0.276388
972.0000,0.277143
973.0000,0.277892
974.0000,0.278636
975.0000,0.279374
976.0000,0.280107
977.0000,0.280834
978.0000,0.281555
979.0000,0.282271
980.0000,0.282980
981.0000,0.283684
982.0000,0.284381
983.0000,0.285071
984.0000,0.285755
985.0000,0.286433
986.0000,0.287104
987.0000,0.287768
988.0000,0.288426
989.0000,0.289077
990.0000,0.289721
991.0000,0.290357
992.0000,0.290987
993.0000,0.291610
994.0000,0.292225
995.0000,0.292834
996.0000,0.293435
997.0000,0.294029
998.0000,0.294616
999.0000,0.295195
1000.0000,0.295767
1001.0000,0.296332
1002.0000,0.296889
1003.0000,0.297439
1004.0000,0.297982
1005.0000,0.298517
1006.0000,0.299045
1007.0000,0.299566
1008.0000,0.300079
1009.0000,0.300585
1010.0000,0.301084
1011.0000,0.301575
1012.0000,0.302059
1013.0000,0.302536
1014.0000,0.303005
1015.0000,0.303468
1016.0000,0.303923
1017.0000,0.304371
1018.0000,0.304812
1019.0000,0.305246
1020.0000,0.305673
1021.0000,0.306093
1022.0000,0.306506
1023.0000,0.306912
1024.0000,0.307312
1025.0000,0.307704
1026.0000,0.308090
1027.0000,0.308470
1028.0000,0.308843
1029.0000,0.309209
1030.0000,0.309569
1031.0000,0.309922
1032.0000,0.310270
1033.0000,0.310611
1034.0000,0.310945
1035.0000,0.311274
1036.0000,0.311597
1037.0000,0.311913
1038.0000,0.312224
1039.0000,0.312529
1040.0000,0.312829
1041.0000,0.313122
1042.0000,0.313410
1043.0000,0.313693
1044.0000,0.313970
1045.0000,0.314242
1046.0000,0.314508
1047.0000,0.314769
1048.0000,0.315026
1049.0000,0.315277
1050.0000,0.315523
1051.0000,0.315764
1052.0000,0.316001
1053.0000,0.316232
1054.0000,0.316459
1055.0000,0.316682
1056.0000,0.316900
1057.0000,0.317114
1058.0000,0.317323
1059.0000,0.317528
1060.0000,0.317729
1061.0000,0.317925
1062.0000,0.318118
1063.0000,0.318307
1064.0000,0.318492
1065.0000,0.318673
1066.0000,0.318850
1067.0000,0.319024
1068.0000,0.319194
1069.0000,0.319360
1070.0000,0.319523
1071.0000,0.319683
1072.0000,0.319840
1073.0000,0.319993
1074.0000,0.320143
1075.0000,0.320290
1076.0000,0.320434
1077.0000,0.320575
1078.0000,0.320713
1079.0000,0.320848
1080.0000,0.320980
1081.0000,0.321110
1082.0000,0.321237
1083.0000,0.321362
1084.0000,0.321484
1085.0000,0.321603
1086.0000,0.321720
1087.0000,0.321835
1088.0000,0.321947
1089.0000,0.322058
1090.0000,0.322166
1091.0000,0.322271
1092.0000,0.322375
1093.0000,0.322477
1094.0000,0.322576
1095.0000,0.322674
1096.0000,0.322770
1097.0000,0.322864
1098.0000,0.322956
1099.0000,0.323047
1100.0000,0.323136
1101.0000,0.323223
1102.0000,0.323308
1103.0000,0.323392
1104.0000,0.323474
1105.0000,0.323555
1106.0000,0.323635
1107.0000,0.323713
1108.0000,0.323789
1109.0000,0.323864
1110.0000,0.323938
1111.0000,0.324011
1112.0000,0.324082
1113.0000,0.324153
1114.0000,0.324222
1115.0000,0.324289
1116.0000,0.324356
1117.0000,0.324422
1118.0000,0.324486
1119.0000,0.324550
1120.0000,0.324613
1121.0000,0.324674
1122.0000,0.324735
1123.0000,0.324794
1124.0000,0.324853
1125.0000,0.324911
1126.0000,0.324968
1127.0000,0.325024
1128.0000,0.325080
1129.0000,0.325134
1130.0000,0.325188
1131.0000,0.325241
1132.0000,0.325294
1133.0000,0.325346
1134.0000,0.325397
1135.0000,0.325447
1136.0000,0.325497
1137.0000,0.325546
1138.0000,0.325594
1139.0000,0.325642
1140.0000,0.325689
1141.0000,0.325736
1142.0000,0.325782
1143.0000,0.325828
1144.0000,0.325873
1145.0000,0.325917
1146.0000,0.325961
1147.0000,0.326005
1148.0000,0.326048
1149.0000,0.326091
1150.0000,0.326133
1151.0000,0.326175
1152.0000,0.326216
1153.0000,0.326257
1154.0000,0.326297
1155.0000,0.326337
1156.0000,0.326377
1157.0000,0.326416
1158.0000,0.326455
1159.0000,0.326494
1160.0000,0.326532
1161.0000,0.326570
1162.0000,0.326607
1163.0000,0.326644
1164.0000,0.326681
1165.0000,0.326718
1166.0000,0.326754
1167.0000,0.326790
1168.0000,0.326826
1169.0000,0.326861
1170.0000,0.326896
1171.0000,0.326931
1172.0000,0.326965
1173.0000,0.326999
1174.0000,0.327033
1175.0000,0.327067
1176.0000,0.327100
1177.0000,0.327133
1178.0000,0.327166
1179.0000,0.327199
1180.0000,0.327232
1181.0000,0.327264
1182.0000,0.327296
1183.0000,0.327327
1184.0000,0.327359
1185.0000,0.327390
1186.0000,0.327421
1187.0000,0.327452
1188.0000,0.327483
1189.0000,0.327513
1190.0000,0.327543
1191.0000,0.327574
1192.0000,0.327603
1193.0000,0.327633
1194.0000,0.327662
1195.0000,0.327692
1196.0000,0.327721
1197.0000,0.327750
1198.0000,0.327778
1199.0000,0.327807
1200.0000,0.327835
1201.0000,0.327863
1202.0000,0.327891
1203.0000,0.327919
1204.0000,0.327947
1205.0000,0.327974
1206.0000,0.328002
1207.0000,0.328029
1208.0000,0.328056
1209.0000,0.328083
1210.0000,0.328109
1211.0000,0.328136
1212.0000,0.328162
1213.0000,0.328188
1214.0000,0.328214
1215.0000,0.328240
1216.0000,0.328266
1217.0000,0.328292
1218.0000,0.328317
1219.0000,0.328342
1220.0000,0.328368
1221.0000,0.328393
1222.0000,0.328417
1223.0000,0.328442
1224.0000,0.328467
1225.0000,0.328491
1226.0000,0.328515
1227.0000,0.328540
1228.0000,0.328564
1229.0000,0.328588
1230.0000,0.328611
1231.0000,0.328635
1232.0000,0.328659
1233.0000,0.328682
1234.0000,0.328705
1235.0000,0.328728
1236.0000,0.328751
1237.0000,0.328774
1238.0000,0.328797
1239.0000,0.328819
1240.0000,0.328842
1241.0000,0.328864
1242.0000,0.328887
1243.0000,0.328909
1244.0000,0.328931
1245.0000,0.328953
1246.0000,0.328974
1247.0000,0.328996
1248.0000,0.329018
1249.0000,0.329039
1250.0000,0.329060
1251.0000,0.329082
1252.0000,0.329103
1253.0000,0.329124
1254.0000,0.329144
1255.0000,0.329165
1256.0000,0.329186
1257.0000,0.329206
1258.0000,0.329227
1259.0000,0.329247
1260.0000,0.329267
1261.0000,0.329288
1262.0000,0.329308
1263.0000,0.329328
1264.0000,0.329347
1265.0000,0.329367
1266.0000,0.329387
1267.0000,0.329406
1268.0000,0.329426
1269.0000,0.329445
1270.0000,0.329464
1271.0000,0.329483
1272.0000,0.329502
1273.0000,0.329521
1274.0000,0.329540
1275.0000,0.329559
1276.0000,0.329578
1277.0000,0.329596
1278.0000,0.329615
1279.0000,0.329633
1280.0000,0.329651
1281.0000,0.329670
1282.0000,0.329688
1283.0000,0.329706
1284.0000,0.329724
1285.0000,0.329742
1286.0000,0.329759
1287.0000,0.329777
1288.0000,0.329795
1289.0000,0.329812
1290.0000,0.329830
1291.0000,0.329847
1292.0000,0.329864
1293.0000,0.329882
1294.0000,0.329899
1295.0000,0.329916
1296.0000,0.329933
1297.0000,0.329950
1298.0000,0.329967
1299.0000,0.329983
1300.0000,0.330000
1301.0000,0.330017
1302.0000,0.330033
1303.0000,0.330050
1304.0000,0.330067
1305.0000,0.330083
1306.0000,0.330100
1307.0000,0.330116
1308.0000,0.330133
1309.0000,0.330149
1310.0000,0.330166
1311.0000,0.330182
1312.0000,0.330199
1313.0000,0.330215
1314.0000,0.330232
1315.0000,0.330248
1316.0000,0.330265
1317.0000,0.330281
1318.0000,0.330298
1319.0000,0.330314
1320.0000,0.330330
1321.0000,0.330347
1322.0000,0.330363
1323.0000,0.330380
1324.0000,0.330396
1325.0000,0.330412
1326.0000,0.330429
1327.0000,0.330445
1328.0000,0.330461
1329.0000,0.330477
1330.0000,0.330494
1331.0000,0.330510
1332.0000,0.330526
1333.0000,0.330542
1334.0000,0.330558
1335.0000,0.330575
1336.0000,0.330591
1337.0000,0.330607
1338.0000,0.330623
1339.0000,0.330639
1340.0000,0.330655
1341.0000,0.330671
1342.0000,0.330688
1343.0000,0.330704
1344.0000,0.330720
1345.0000,0.330736
1346.0000,0.330752
1347.0000,0.330768
1348.0000,0.330784
1349.0000,0.330800
1350.0000,0.330816
1351.0000,0.330832
1352.0000,0.330848
1353.0000,0.330864
1354.0000,0.330880
1355.0000,0.330895
1356.0000,0.330911
1357.0000,0.330927
1358.0000,0.330943
1359.0000,0.330959
1360.0000,0.330975
1361.0000,0.330991
1362.0000,0.331006
1363.0000,0.331022
1364.0000,0.331038
1365.0000,0.331054
1366.0000,0.331069
1367.0000,0.331085
1368.0000,0.331101
1369.0000,0.331117
1370.0000,0.331132
1371.0000,0.331148
1372.0000,0.331164
1373.0000,0.331179
1374.0000,0.331195
1375.0000,0.331211
1376.0000,0.331226
1377.0000,0.331242
1378.0000,0.331257
1379.0000,0.331273
1380.0000,0.331289
1381.0000,0.331304
1382.0000,0.331320
1383.0000,0.331335
1384.0000,0.331351
1385.0000,0.331366
1386.0000,0.331382
1387.0000,0.331397
1388.0000,0.331413
1389.0000,0.331428
1390.0000,0.331443
1391.0000,0.331459
1392.0000,0.331474
1393.0000,0.331490
1394.0000,0.331505
1395.0000,0.331520
1396.0000,0.331536
1397.0000,0.331551
1398.0000,0.331566
1399.0000,0.331582
1400.0000,0.331597
1401.0000,0.331612
1402.0000,0.331627
1403.0000,0.331643
1404.0000,0.331658
1405.0000,0.331673
1406.0000,0.331688
1407.0000,0.331703
1408.0000,0.331719
1409.0000,0.331734
1410.0000,0.331749
1411.0000,0.331764
1412.0000,0.331779
1413.0000,0.331794
1414.0000,0.331809
1415.0000,0.331824
1416.0000,0.331839
1417.0000,0.331854
1418.0000,0.331870
1419.0000,0.331885
1420.0000,0.331900
1421.0000,0.331915
1422.0000,0.331930
1423.0000,0.331944
1424.0000,0.331959
1425.0000,0.331974
1426.0000,0.331989
1427.0000,0.332004
1428.0000,0.332019
1429.0000,0.332034
1430.0000,0.332049
1431.0000,0.332064
1432.0000,0.332078
1433.0000,0.332093
1434.0000,0.332108
1435.0000,0.332123
1436.0000,0.332138
1437.0000,0.332152
1438.0000,0.332167
1439.0000,0.332182
1440.0000,0.332197
1441.0000,0.332211
1442.0000,0.332226
1443.0000,0.332241
1444.0000,0.332255
1445.0000,0.332270
1446.0000,0.332285
1447.0000,0.332299
1448.0000,0.332314
1449.0000,0.332329
1450.0000,0.332343
1451.0000,0.332358
1452.0000,0.332372
1453.0000,0.332387
1454.0000,0.332401
1455.0000,0.332416
1456.0000,0.332430
1457.0000,0.332445
1458.0000,0.332459
1459.0000,0.332474
1460.0000,0.332488
1461.0000,0.332503
1462.0000,0.332517
1463.0000,0.332532
1464.0000,0.332546
1465.0000,0.332560
1466.0000,0.332575
1467.0000,0.332589
1468.0000,0.332603
1469.0000,0.332618
1470.0000,0.332632
1471.0000,0.332646
1472.0000,0.332661
1473.0000,0.332675
1474.0000,0.332689
1475.0000,0.332703
1476.0000,0.332718
1477.0000,0.332732
1478.0000,0.332746
1479.0000,0.332760
1480.0000,0.332774
1481.0000,0.332789
1482.0000,0.332803
1483.0000,0.332817
1484.0000,0.332831
1485.0000,0.332845
1486.0000,0.332859
1487.0000,0.332873
1488.0000,0.332887
1489.0000,0.332901
1490.0000,0.332915
1491.0000,0.332929
1492.0000,0.332943
1493.0000,0.332957
1494.0000,0.332971
1495.0000,0.332985
1496.0000,0.332999
1497.0000,0.333013
1498.0000,0.333027
1499.0000,0.333041
1500.0000,0.333055
1501.0000,0.333069
1502.0000,0.333083
1503.0000,0.333096
1504.0000,0.333110
1505.0000,0.333124
1506.0000,0.333138
1507.0000,0.333152
1508.0000,0.333166
1509.0000,0.333179
1510.0000,0.333193
1511.0000,0.333207
1512.0000,0.333221
1513.0000,0.333234
1514.0000,0.333248
1515.0000,0.333262
1516.0000,0.333275
1517.0000,0.333289
1518.0000,0.333303
1519.0000,0.333316
1520.0000,0.333330
1521.0000,0.333343
1522.0000,0.333357
1523.0000,0.333371
1524.0000,0.333384
1525.0000,0.333398
1526.0000,0.333411
1527.0000,0.333425
1528.0000,0.333438
1529.0000,0.333452
1530.0000,0.333465
1531.0000,0.333479
1532.0000,0.333492
1533.0000,0.333506
1534.0000,0.333519
1535.0000,0.333532
1536.0000,0.333546
1537.0000,0.333559
1538.0000,0.333573
1539.0000,0.333586
1540.0000,0.333599
1541.0000,0.333613
1542.0000,0.333626
1543.0000,0.333639
1544.0000,0.333652
1545.0000,0.333666
1546.0000,0.333679
1547.0000,0.333692
1548.0000,0.333705
1549.0000,0.333719
1550.0000,0.333732
1551.0000,0.333745
1552.0000,0.333758
1553.0000,0.333771
1554.0000,0.333785
1555.0000,0.333798
1556.0000,0.333811
1557.0000,0.333824
1558.0000,0.333837
1559.0000,0.333850
1560.0000,0.333863
1561.0000,0.333876
1562.0000,0.333889
1563.0000,0.333902
1564.0000,0.333915
1565.0000,0.333928
1566.0000,0.333941
1567.0000,0.333954
1568.0000,0.333967
1569.0000,0.333980
1570.0000,0.333993
1571.0000,0.334006
1572.0000,0.334019
1573.0000,0.334032
1574.0000,0.334045
1575.0000,0.334057
1576.0000,0.334070
1577.0000,0.334083
1578.0000,0.334096
1579.0000,0.334109
1580.0000,0.334121
1581.0000,0.334134
1582.0000,0.334147
1583.0000,0.334160
1584.0000,0.334172
1585.0000,0.334185
1586.0000,0.334198
1587.0000,0.334211
1588.0000,0.334223
1589.0000,0.334236
1590.0000,0.334249
1591.0000,0.334261
1592.0000,0.334274
1593.0000,0.334286
1594.0000,0.334299
1595.0000,0.334312
1596.0000,0.334324
1597.0000,0.334337
1598.0000,0.334349
1599.0000,0.334362
1600.0000,0.334374
1601.0000,0.334387
1602.0000,0.334399
1603.0000,0.334412
1604.0000,0.334424
1605.0000,0.334437
1606.0000,0.334449
1607.0000,0.334461
1608.0000,0.334474
1609.0000,0.334486
1610.0000,0.334498
1611.0000,0.334511
1612.0000,0.334523
1613.0000,0.334536
1614.0000,0.334548
1615.0000,0.334560
